student_id,gender,adult_learner_flag,family_support_flag,dependents_flag,mobile_contactable_flag,multi_channel_contact_flag,digital_access_type,enrollment_commitment_type,digital_self_service_flag,payment_plan_type,monthly_student_bill,actual_dropout_flag
CRM-00074,Male,0,1,1,1,1,Limited access,Multi-year commitment,1,Bank transfer (automatic),24.25,0
CRM-00075,Female,0,0,1,1,0,Standard bandwidth,Open enrollment,1,Bank transfer (automatic),64.5,0
CRM-00076,Female,1,0,0,1,1,High bandwidth,Annual commitment,0,Electronic check,110.5,0
CRM-00077,Female,0,0,0,1,0,Standard bandwidth,Annual commitment,0,Credit card (automatic),55.65,0
CRM-00078,Female,0,1,1,1,0,Standard bandwidth,Open enrollment,0,Mailed check,54.65,0
CRM-00079,Male,1,0,0,1,0,Standard bandwidth,Open enrollment,1,Electronic check,74.75,0
CRM-00080,Female,0,1,1,1,1,Limited access,Annual commitment,1,Credit card (automatic),25.9,0
CRM-00081,Female,0,0,1,1,0,High bandwidth,Open enrollment,1,Electronic check,79.35,1
CRM-00082,Female,0,1,1,0,0,Standard bandwidth,Open enrollment,0,Electronic check,50.55,0
CRM-00083,Female,0,1,0,1,0,High bandwidth,Open enrollment,1,Bank transfer (automatic),75.15,1
CRM-00084,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Bank transfer (automatic),103.8,0
CRM-00085,Female,0,1,0,1,0,Limited access,Multi-year commitment,1,Bank transfer (automatic),20.15,0
CRM-00086,Male,0,0,0,1,1,High bandwidth,Open enrollment,1,Credit card (automatic),99.3,0
CRM-00087,Female,0,1,0,1,0,Standard bandwidth,Annual commitment,1,Bank transfer (automatic),62.15,0
CRM-00088,Female,0,1,1,1,0,Limited access,Multi-year commitment,0,Bank transfer (automatic),20.65,0
CRM-00089,Female,0,1,1,1,0,Limited access,Multi-year commitment,1,Mailed check,19.95,0
CRM-00090,Male,0,1,0,0,0,Standard bandwidth,Open enrollment,0,Mailed check,33.75,0
CRM-00091,Male,0,1,1,1,0,High bandwidth,Open enrollment,0,Bank transfer (automatic),82.05,0
CRM-00092,Male,1,0,0,1,0,High bandwidth,Open enrollment,0,Electronic check,74.7,0
CRM-00093,Male,0,1,1,1,1,Standard bandwidth,Multi-year commitment,1,Mailed check,84.0,0
CRM-00094,Female,0,0,0,1,1,High bandwidth,Open enrollment,1,Credit card (automatic),111.05,0
CRM-00095,Male,0,0,0,1,1,High bandwidth,Multi-year commitment,1,Bank transfer (automatic),100.9,0
CRM-00096,Female,0,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,78.95,1
CRM-00097,Male,0,1,1,1,1,Standard bandwidth,Annual commitment,1,Credit card (automatic),66.85,0
CRM-00098,Male,0,0,0,1,0,Limited access,Open enrollment,0,Mailed check,21.05,1
CRM-00099,Male,0,0,0,1,0,Limited access,Multi-year commitment,0,Bank transfer (automatic),21.0,0
CRM-00100,Female,1,1,0,1,0,High bandwidth,Open enrollment,1,Electronic check,98.5,1
CRM-00101,Male,0,0,0,1,0,Limited access,Open enrollment,0,Mailed check,20.2,0
CRM-00102,Female,0,1,1,1,0,Limited access,Open enrollment,0,Electronic check,19.45,0
CRM-00103,Male,0,0,0,1,1,High bandwidth,Annual commitment,0,Bank transfer (automatic),95.0,0
CRM-00104,Female,1,1,0,0,0,Standard bandwidth,Annual commitment,0,Bank transfer (automatic),45.55,0
CRM-00105,Male,0,1,0,1,1,High bandwidth,Multi-year commitment,1,Bank transfer (automatic),110.0,1
CRM-00106,Male,0,0,0,0,0,Standard bandwidth,Open enrollment,0,Mailed check,24.3,0
CRM-00107,Female,0,1,1,1,1,High bandwidth,Annual commitment,1,Electronic check,104.15,0
CRM-00108,Female,0,0,0,0,0,Standard bandwidth,Annual commitment,0,Mailed check,30.15,0
CRM-00109,Male,0,0,0,1,1,High bandwidth,Annual commitment,0,Mailed check,94.35,0
CRM-00110,Male,0,1,1,1,0,Limited access,Multi-year commitment,0,Credit card (automatic),19.4,0
CRM-00111,Male,0,1,0,1,1,High bandwidth,Open enrollment,1,Electronic check,96.75,1
CRM-00112,Female,0,0,0,1,0,Standard bandwidth,Annual commitment,0,Credit card (automatic),57.95,0
CRM-00113,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,91.65,0
CRM-00114,Female,1,1,0,1,1,High bandwidth,Open enrollment,1,Electronic check,76.5,1
CRM-00115,Female,0,1,1,0,0,Standard bandwidth,Multi-year commitment,1,Electronic check,54.6,0
CRM-00116,Male,0,1,1,1,0,High bandwidth,Open enrollment,0,Electronic check,89.85,0
CRM-00117,Female,0,0,0,0,0,Standard bandwidth,Multi-year commitment,0,Bank transfer (automatic),31.05,0
CRM-00118,Female,0,1,1,1,1,High bandwidth,Open enrollment,1,Electronic check,100.25,1
CRM-00119,Female,0,0,0,1,0,Limited access,Multi-year commitment,0,Mailed check,20.65,0
CRM-00120,Male,0,1,1,1,1,High bandwidth,Open enrollment,1,Credit card (automatic),85.2,0
CRM-00121,Female,0,1,1,1,1,High bandwidth,Annual commitment,1,Credit card (automatic),99.8,0
CRM-00122,Female,0,0,0,1,0,Limited access,Open enrollment,0,Mailed check,20.7,0
CRM-00123,Male,0,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,74.4,1
CRM-00124,Female,0,1,1,1,0,Standard bandwidth,Open enrollment,0,Mailed check,50.7,0
CRM-00125,Female,0,1,1,1,0,Limited access,Open enrollment,0,Mailed check,20.85,0
CRM-00126,Male,0,0,0,1,0,High bandwidth,Multi-year commitment,1,Electronic check,88.95,0
CRM-00127,Female,1,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,78.05,1
CRM-00128,Male,0,1,0,1,1,Limited access,Multi-year commitment,1,Bank transfer (automatic),23.55,0
CRM-00129,Male,0,0,0,1,0,Limited access,Open enrollment,0,Mailed check,19.75,0
CRM-00130,Male,1,0,0,0,0,Standard bandwidth,Annual commitment,1,Electronic check,56.45,0
CRM-00131,Female,0,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,85.95,0
CRM-00132,Female,0,1,1,0,0,Standard bandwidth,Open enrollment,1,Credit card (automatic),58.6,1
CRM-00133,Male,0,0,0,1,0,Standard bandwidth,Multi-year commitment,0,Bank transfer (automatic),50.55,0
CRM-00134,Male,0,0,0,0,0,Standard bandwidth,Open enrollment,1,Electronic check,35.45,1
CRM-00135,Male,0,0,0,1,0,Standard bandwidth,Open enrollment,0,Electronic check,44.35,1
CRM-00136,Female,0,0,0,1,1,Limited access,Multi-year commitment,1,Credit card (automatic),25.7,0
CRM-00137,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Bank transfer (automatic),75.0,0
CRM-00138,Female,0,1,1,1,0,Limited access,Multi-year commitment,0,Mailed check,20.2,0
CRM-00139,Male,0,0,1,1,0,Limited access,Multi-year commitment,1,Mailed check,19.6,0
CRM-00140,Female,1,1,0,1,0,High bandwidth,Open enrollment,1,Mailed check,70.45,1
CRM-00141,Female,1,1,1,1,1,Standard bandwidth,Multi-year commitment,1,Credit card (automatic),88.05,0
CRM-00142,Female,0,0,0,1,1,Standard bandwidth,Open enrollment,0,Electronic check,71.15,1
CRM-00143,Female,0,1,0,1,1,High bandwidth,Multi-year commitment,1,Bank transfer (automatic),101.05,0
CRM-00144,Male,0,0,0,1,1,High bandwidth,Annual commitment,1,Credit card (automatic),84.3,0
CRM-00145,Male,1,1,0,1,1,Limited access,Multi-year commitment,0,Bank transfer (automatic),23.95,0
CRM-00146,Female,0,1,1,1,1,High bandwidth,Multi-year commitment,1,Credit card (automatic),99.05,0
CRM-00147,Male,0,0,0,1,0,Limited access,Annual commitment,0,Mailed check,19.6,0
CRM-00148,Male,0,0,0,1,0,Standard bandwidth,Open enrollment,1,Electronic check,45.65,1
CRM-00149,Male,0,0,1,1,0,Standard bandwidth,Annual commitment,0,Credit card (automatic),64.5,0
CRM-00150,Male,0,1,1,1,0,Standard bandwidth,Open enrollment,1,Mailed check,69.5,0
CRM-00151,Female,0,1,1,1,0,Standard bandwidth,Open enrollment,1,Electronic check,68.55,0
CRM-00152,Male,0,0,0,1,1,High bandwidth,Open enrollment,0,Mailed check,95.0,1
CRM-00153,Female,0,1,1,1,1,High bandwidth,Annual commitment,1,Credit card (automatic),108.15,0
CRM-00154,Male,0,1,1,1,0,Standard bandwidth,Multi-year commitment,0,Electronic check,86.1,0
CRM-00155,Female,0,1,1,1,0,Limited access,Open enrollment,0,Mailed check,19.7,0
CRM-00156,Female,0,1,1,1,0,High bandwidth,Open enrollment,1,Bank transfer (automatic),80.9,0
CRM-00157,Female,0,0,0,1,1,High bandwidth,Open enrollment,1,Bank transfer (automatic),84.15,0
CRM-00158,Male,0,1,1,1,0,Limited access,Annual commitment,0,Mailed check,20.15,0
CRM-00159,Male,0,1,1,1,0,Standard bandwidth,Multi-year commitment,0,Mailed check,64.25,0
CRM-00160,Male,0,0,0,1,1,Limited access,Multi-year commitment,0,Bank transfer (automatic),25.7,0
CRM-00161,Female,0,0,1,1,0,Standard bandwidth,Open enrollment,1,Electronic check,56.0,0
CRM-00162,Female,0,1,0,1,1,High bandwidth,Open enrollment,0,Electronic check,82.4,1
CRM-00163,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,69.7,0
CRM-00164,Male,0,0,0,1,1,Standard bandwidth,Multi-year commitment,1,Bank transfer (automatic),73.9,0
CRM-00165,Female,0,1,1,1,0,Limited access,Annual commitment,0,Mailed check,20.6,0
CRM-00166,Male,0,1,0,1,0,Limited access,Multi-year commitment,0,Mailed check,19.9,0
CRM-00167,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Bank transfer (automatic),70.9,1
CRM-00168,Male,0,1,0,1,1,Standard bandwidth,Multi-year commitment,1,Bank transfer (automatic),89.05,0
CRM-00169,Male,1,1,0,0,0,Standard bandwidth,Open enrollment,1,Electronic check,45.3,1
CRM-00170,Female,0,1,1,1,0,Limited access,Open enrollment,0,Electronic check,20.4,0
CRM-00171,Male,0,1,0,1,0,High bandwidth,Annual commitment,1,Bank transfer (automatic),84.25,0
CRM-00172,Female,0,1,0,1,1,High bandwidth,Open enrollment,1,Electronic check,104.4,1
CRM-00173,Male,0,1,0,1,0,Standard bandwidth,Multi-year commitment,0,Mailed check,81.95,0
CRM-00174,Female,0,1,0,1,0,High bandwidth,Annual commitment,1,Bank transfer (automatic),94.85,1
CRM-00175,Female,0,0,0,1,0,Limited access,Annual commitment,0,Bank transfer (automatic),20.55,0
CRM-00176,Female,0,1,0,1,1,Limited access,Open enrollment,0,Electronic check,24.7,0
CRM-00177,Female,1,0,0,1,1,High bandwidth,Open enrollment,1,Mailed check,74.45,1
CRM-00178,Female,1,0,0,1,0,High bandwidth,Open enrollment,0,Bank transfer (automatic),76.45,1
CRM-00179,Female,0,1,1,1,1,High bandwidth,Open enrollment,1,Bank transfer (automatic),105.35,0
CRM-00180,Male,0,1,0,1,0,Limited access,Annual commitment,1,Credit card (automatic),20.55,0
CRM-00181,Female,0,0,0,0,0,Standard bandwidth,Open enrollment,0,Bank transfer (automatic),29.95,1
CRM-00182,Female,0,0,0,1,0,Standard bandwidth,Open enrollment,0,Mailed check,45.3,0
CRM-00183,Male,0,0,0,1,1,High bandwidth,Open enrollment,0,Bank transfer (automatic),84.5,1
CRM-00184,Male,0,1,1,1,0,Standard bandwidth,Annual commitment,0,Credit card (automatic),74.75,0
CRM-00185,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,79.25,1
CRM-00186,Female,0,1,0,0,0,Standard bandwidth,Open enrollment,1,Electronic check,24.8,1
CRM-00187,Male,0,0,0,1,0,Standard bandwidth,Open enrollment,1,Mailed check,51.8,0
CRM-00188,Male,0,0,0,0,0,Standard bandwidth,Open enrollment,0,Electronic check,30.4,0
CRM-00189,Female,0,0,0,1,0,Limited access,Annual commitment,0,Electronic check,19.65,0
CRM-00190,Female,0,1,0,1,1,Standard bandwidth,Open enrollment,0,Credit card (automatic),56.6,0
CRM-00191,Male,0,1,1,1,1,Standard bandwidth,Annual commitment,1,Credit card (automatic),71.9,0
CRM-00192,Male,0,1,0,1,0,High bandwidth,Open enrollment,1,Electronic check,91.0,1
CRM-00193,Female,0,1,1,1,0,Limited access,Multi-year commitment,0,Bank transfer (automatic),19.75,0
CRM-00194,Female,0,1,1,1,1,High bandwidth,Multi-year commitment,0,Credit card (automatic),109.7,0
CRM-00195,Male,0,1,1,1,0,Limited access,Multi-year commitment,0,Credit card (automatic),19.3,0
CRM-00196,Female,0,1,0,1,0,High bandwidth,Open enrollment,1,Electronic check,96.55,0
CRM-00197,Male,0,1,1,1,1,Limited access,Multi-year commitment,1,Bank transfer (automatic),24.1,0
CRM-00198,Male,0,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,111.35,0
CRM-00199,Male,0,1,1,1,1,High bandwidth,Multi-year commitment,1,Bank transfer (automatic),112.25,0
CRM-00200,Male,0,0,1,1,0,Limited access,Open enrollment,0,Mailed check,20.75,0
CRM-00201,Female,0,1,0,1,0,High bandwidth,Annual commitment,1,Credit card (automatic),101.9,0
CRM-00202,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Credit card (automatic),80.05,0
CRM-00203,Male,0,1,1,1,1,High bandwidth,Multi-year commitment,0,Electronic check,105.55,0
CRM-00204,Male,0,0,1,1,0,High bandwidth,Open enrollment,1,Credit card (automatic),78.3,0
CRM-00205,Male,0,0,0,1,0,High bandwidth,Open enrollment,0,Credit card (automatic),68.85,0
CRM-00206,Female,0,0,0,1,0,High bandwidth,Annual commitment,1,Bank transfer (automatic),79.95,0
CRM-00207,Male,0,1,1,0,0,Standard bandwidth,Multi-year commitment,1,Credit card (automatic),55.45,0
CRM-00208,Male,0,0,0,1,0,High bandwidth,Open enrollment,0,Electronic check,79.9,1
CRM-00209,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,106.6,1
CRM-00210,Male,0,1,0,1,0,High bandwidth,Annual commitment,1,Credit card (automatic),102.45,0
CRM-00211,Male,0,0,0,1,0,Standard bandwidth,Open enrollment,1,Credit card (automatic),46.0,1
CRM-00212,Female,0,0,0,0,0,Standard bandwidth,Open enrollment,0,Electronic check,25.25,0
CRM-00213,Male,0,0,1,1,0,Limited access,Multi-year commitment,0,Mailed check,19.75,0
CRM-00214,Female,0,1,1,1,0,Limited access,Annual commitment,0,Electronic check,20.0,0
CRM-00215,Male,1,1,0,1,1,High bandwidth,Open enrollment,0,Electronic check,86.8,0
CRM-00216,Female,0,1,0,0,0,Standard bandwidth,Open enrollment,1,Bank transfer (automatic),58.75,0
CRM-00217,Male,0,1,1,0,0,Standard bandwidth,Multi-year commitment,0,Credit card (automatic),45.25,0
CRM-00218,Male,0,1,0,0,0,Standard bandwidth,Multi-year commitment,1,Bank transfer (automatic),56.6,0
CRM-00219,Male,0,1,1,1,1,Standard bandwidth,Multi-year commitment,1,Bank transfer (automatic),84.2,0
CRM-00220,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Bank transfer (automatic),80.0,0
CRM-00221,Female,0,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,70.15,1
CRM-00222,Female,0,1,0,1,1,Limited access,Multi-year commitment,0,Bank transfer (automatic),24.75,0
CRM-00223,Male,0,1,1,1,0,Limited access,Annual commitment,1,Electronic check,20.2,0
CRM-00224,Male,0,1,0,1,0,Standard bandwidth,Open enrollment,0,Mailed check,50.05,1
CRM-00225,Female,0,0,0,1,0,Limited access,Annual commitment,1,Bank transfer (automatic),19.35,0
CRM-00226,Male,0,0,0,0,0,Standard bandwidth,Annual commitment,1,Mailed check,50.6,0
CRM-00227,Female,0,1,1,1,0,Standard bandwidth,Annual commitment,1,Mailed check,81.15,0
CRM-00228,Female,0,1,0,1,0,Standard bandwidth,Open enrollment,0,Mailed check,55.2,1
CRM-00229,Male,0,0,0,1,1,High bandwidth,Open enrollment,1,Credit card (automatic),89.9,0
CRM-00230,Female,0,1,1,1,1,Standard bandwidth,Multi-year commitment,1,Credit card (automatic),85.3,0
CRM-00231,Male,0,0,0,1,1,High bandwidth,Multi-year commitment,1,Credit card (automatic),108.0,0
CRM-00232,Male,0,0,0,1,0,High bandwidth,Open enrollment,1,Credit card (automatic),93.5,0
CRM-00233,Male,0,0,0,1,0,High bandwidth,Open enrollment,1,Mailed check,84.6,1
CRM-00234,Female,0,0,0,1,0,Limited access,Multi-year commitment,0,Credit card (automatic),20.25,0
CRM-00235,Female,0,0,0,1,1,Limited access,Open enrollment,0,Electronic check,25.15,0
CRM-00236,Male,0,0,0,1,1,Standard bandwidth,Open enrollment,1,Mailed check,54.4,1
CRM-00237,Female,0,0,0,0,0,Standard bandwidth,Multi-year commitment,1,Mailed check,29.6,0
CRM-00238,Male,0,1,0,1,1,High bandwidth,Open enrollment,1,Electronic check,73.15,0
CRM-00239,Female,1,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,95.0,1
CRM-00240,Male,0,0,0,1,0,Limited access,Multi-year commitment,0,Mailed check,19.75,0
CRM-00241,Female,0,0,0,1,1,Standard bandwidth,Multi-year commitment,0,Bank transfer (automatic),86.6,0
CRM-00242,Male,0,0,0,1,1,High bandwidth,Multi-year commitment,0,Bank transfer (automatic),109.2,0
CRM-00243,Female,0,1,1,1,0,Standard bandwidth,Annual commitment,1,Credit card (automatic),74.7,0
CRM-00244,Female,1,1,0,1,0,High bandwidth,Open enrollment,0,Electronic check,94.4,0
CRM-00245,Female,1,0,0,1,0,Standard bandwidth,Open enrollment,1,Electronic check,54.8,0
CRM-00246,Male,1,0,0,1,0,High bandwidth,Open enrollment,0,Electronic check,75.35,0
CRM-00247,Male,0,0,0,1,1,Standard bandwidth,Annual commitment,0,Mailed check,65.0,0
CRM-00248,Male,1,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,74.4,1
CRM-00249,Male,0,0,0,1,0,Standard bandwidth,Open enrollment,1,Mailed check,48.55,1
CRM-00250,Male,0,0,0,1,1,High bandwidth,Annual commitment,1,Electronic check,99.0,0
CRM-00251,Female,0,1,0,1,0,High bandwidth,Annual commitment,1,Electronic check,93.5,0
CRM-00252,Female,0,1,1,1,0,High bandwidth,Open enrollment,0,Electronic check,70.4,1
CRM-00253,Male,1,1,0,0,0,Standard bandwidth,Open enrollment,0,Electronic check,40.2,1
CRM-00254,Male,0,0,1,1,1,Standard bandwidth,Annual commitment,0,Credit card (automatic),83.7,0
CRM-00255,Male,0,0,0,1,0,Limited access,Open enrollment,1,Mailed check,19.85,0
CRM-00256,Female,0,1,1,0,0,Standard bandwidth,Multi-year commitment,1,Electronic check,59.55,0
CRM-00257,Female,0,1,1,1,1,High bandwidth,Multi-year commitment,0,Credit card (automatic),115.1,0
CRM-00258,Male,0,0,0,1,1,High bandwidth,Annual commitment,0,Credit card (automatic),114.35,0
CRM-00259,Female,0,1,0,1,0,Standard bandwidth,Open enrollment,1,Credit card (automatic),44.6,1
CRM-00260,Female,1,1,0,0,0,Standard bandwidth,Open enrollment,1,Electronic check,45.0,0
CRM-00261,Male,1,0,0,0,0,Standard bandwidth,Open enrollment,1,Electronic check,41.15,1
CRM-00262,Male,1,0,0,1,1,High bandwidth,Open enrollment,1,Electronic check,106.9,1
CRM-00263,Male,1,1,0,1,1,High bandwidth,Open enrollment,1,Electronic check,89.85,0
CRM-00264,Female,0,0,0,0,0,Standard bandwidth,Multi-year commitment,1,Bank transfer (automatic),49.85,0
CRM-00265,Female,0,1,0,1,1,High bandwidth,Annual commitment,0,Mailed check,113.3,0
CRM-00266,Female,0,1,1,1,1,Standard bandwidth,Multi-year commitment,0,Mailed check,88.1,0
CRM-00267,Male,0,0,0,1,1,Limited access,Multi-year commitment,0,Bank transfer (automatic),24.9,0
CRM-00268,Female,1,0,0,1,0,High bandwidth,Open enrollment,1,Mailed check,105.0,0
CRM-00269,Male,0,0,0,1,0,Limited access,Multi-year commitment,0,Mailed check,19.35,1
CRM-00270,Female,0,1,0,1,1,Limited access,Multi-year commitment,1,Credit card (automatic),24.25,0
CRM-00271,Female,1,0,0,1,0,High bandwidth,Open enrollment,1,Electronic check,94.45,1
