project,area_bucket,district,market_segment,tenure,property_type,bedrooms_mode,median_buy_ttm,median_rent_ttm,gross_yield_ttm,payback_years_ttm,buy_count_ttm,rent_count_ttm,latest_buy_date,latest_rent_date
SCULPTURA ARDMORE,300-350,10,CCR,Freehold,Condominium,,,,,,0,0,2025-06-01,
BIRCHWOOD MANSIONS,110-120,12,RCR,Freehold,Apartment,3,,4400.0,,,0,3,2025-01-01,2026-05-01
RIVEREDGE,140-150,15,RCR,99 yrs lease commencing from 2004,Condominium,3,2897500.0,6300.0,2.6091,38.327,2,7,2026-06-01,2026-04-01
THE LENOX,80-90,14,,,,3,,3750.0,,,0,2,,2026-05-01
SPOTTISWOODE RESIDENCES,50-60,2,RCR,Freehold,Condominium,1,1290000.0,3900.0,3.6279,27.564,6,65,2026-05-01,2026-05-01
THE CONTINUUM,110-120,15,RCR,Freehold,Apartment,,3605500.0,,,,62,0,2026-06-01,
EVERTON COURT,130-140,2,,,,NA,,9400.0,,,0,1,,2025-12-01
MOUNTBATTEN LODGE,50-60,15,,,,,,,,,0,0,,2025-07-01
THE LINEAR,160-170,23,OCR,999 yrs lease commencing from 1876,Apartment,,2428888.0,,,,1,0,2025-12-01,
AIRSTREAM,30-40,12,RCR,Freehold,Apartment,NA,605000.0,2300.0,4.562,21.92,1,3,2026-06-01,2025-11-01
GUILIN VIEW,300-350,23,OCR,99 yrs lease commencing from 1996,Condominium,,,,,,0,0,2025-04-01,
THE GLADES,60-70,16,OCR,99 yrs lease commencing from 2013,Condominium,2,1200000.0,3700.0,3.7,27.027,19,55,2026-06-01,2026-05-01
BOTANIC GARDENS MANSION,150-160,10,,,,3,,7000.0,,,0,5,,2026-05-01
MILL POINT,190-200,10,,,,,,,,,0,0,,2025-05-01
CASERO @ DUNMAN,80-90,15,,,,2,,5300.0,,,0,1,,2026-03-01
AMBER PARK,80-90,15,RCR,Freehold,Condominium,3,2750000.0,6300.0,2.7491,36.376,1,5,2026-04-01,2026-05-01
RACE COURSE 138,50-60,8,,,,,,,,,0,0,,2025-07-01
WHITEHAVEN,130-140,5,,,,,,,,,0,0,,2025-07-01
ROYCE RESIDENCES,70-80,14,,,,1,,3200.0,,,0,1,,2025-12-01
LIVIA,140-150,18,OCR,99 yrs lease commencing from 2008,Condominium,4,2168000.0,5500.0,3.0443,32.848,5,13,2026-04-01,2026-03-01
SEMBAWANG GARDENS ARCADE,110-120,27,,,,NA,,3500.0,,,0,1,,2026-01-01
CLAVON,100-110,5,OCR,99 yrs lease commencing from 2019,Apartment,3,2550000.0,6050.0,2.8471,35.124,3,2,2026-06-01,2026-01-01
ELLIOT AT THE EAST COAST,90-100,15,OCR,Freehold,Condominium,2,,4450.0,,,0,2,2025-03-01,2025-10-01
HAZEL PARK CONDOMINIUM,140-150,23,OCR,999 yrs lease commencing from 1882,Condominium,4,2600000.0,5150.0,2.3769,42.071,1,6,2026-06-01,2026-04-01
CAVENAGH GARDENS,140-150,9,CCR,Freehold,Apartment,3,2520000.0,4700.0,2.2381,44.681,1,9,2025-08-01,2026-05-01
IDYLLIC SUITES,30-40,14,RCR,Freehold,Apartment,1,,2625.0,,,0,16,2025-03-01,2026-05-01
BALMORAL HILLS,250-260,10,CCR,Freehold,Condominium,3,,8300.0,,,0,1,2025-07-01,2026-01-01
ORANGE GROVE RESIDENCES,200-210,10,CCR,Freehold,Condominium,4,,11100.0,,,0,2,2025-02-01,2026-02-01
BOTANIKA,240-250,10,,,,4,,13000.0,,,0,1,,2026-04-01
THE SPRINGBLOOM,120-130,19,OCR,99 yrs lease commencing from 1995,Condominium,3,2185000.0,5200.0,2.8558,35.016,2,15,2026-03-01,2026-05-01
PASIR VIEW PARK,120-130,5,RCR,Freehold,Condominium,3,2060000.0,5000.0,2.9126,34.333,3,1,2026-02-01,2026-04-01
TANGLIN REGENCY,130-140,10,CCR,99 yrs lease commencing from 1994,Condominium,3,,6150.0,,,0,2,2025-02-01,2026-04-01
SUNSHINE RESIDENCE,80-90,15,,,,,,,,,0,0,,2025-02-01
CASA PASIR RIS,100-110,17,OCR,946 yrs lease commencing from 1938,Condominium,,,,,,0,0,2025-03-01,2025-03-01
AVANT RESIDENCES,40-50,14,,,,1,,2900.0,,,0,21,,2026-05-01
CASA CAMBIO,90-100,19,OCR,Freehold,Condominium,2,,3725.0,,,0,2,2025-04-01,2026-05-01
E-SPACE,70-80,15,,,,2,,3700.0,,,0,1,,2025-12-01
SPAZIO @ KOVAN,40-50,19,OCR,Freehold,Apartment,2,840000.0,2900.0,4.1429,24.138,1,8,2025-11-01,2026-05-01
MARINA BAY SUITES,190-200,1,CCR,99 yrs lease commencing from 2007,Condominium,4,4167500.0,12900.0,3.7145,26.922,2,14,2026-05-01,2026-05-01
MARINA BAY SUITES,150-160,1,CCR,99 yrs lease commencing from 2007,Condominium,3,3250000.0,9500.0,3.5077,28.509,1,5,2025-09-01,2026-02-01
FLORIDIAN,200-210,21,,,,4,,9700.0,,,0,1,,2025-08-01
THE QUAYSIDE,130-140,9,,,,3,,7000.0,,,0,1,,2025-09-01
THE LINE @ TANJONG RHU,270-280,15,,,,3,,9500.0,,,0,1,,2025-09-01
JI XIANG COURT,110-120,15,,,,NA,,4900.0,,,0,1,,2026-04-01
HILLTOP GROVE,100-110,23,,,,3,,3600.0,,,0,1,,2025-12-01
WATTEN HOUSE,220-230,11,CCR,Freehold,Condominium,,7729000.0,,,,2,0,2026-06-01,
3 CUSCADEN,60-70,10,,,,2,,6400.0,,,0,7,,2026-01-01
ONE HOLLAND VILLAGE RESIDENCES,100-110,10,CCR,99 yrs lease commencing from 2018,Apartment,3,3500000.0,8150.0,2.7943,35.787,1,8,2025-12-01,2026-02-01
SARKIES GREEN,60-70,10,,,,2,,4100.0,,,0,7,,2026-04-01
KAP RESIDENCES,130-140,21,,,,3,,6000.0,,,0,1,,2025-12-01
CASSIA EDGE,60-70,14,RCR,Freehold,Apartment,2,,2750.0,,,0,4,2025-03-01,2026-04-01
IKIGAI,130-140,11,CCR,Freehold,Apartment,,2950000.0,,,,1,0,2025-11-01,
EVERGREEN VIEW,110-120,14,,,,2,,4300.0,,,0,1,,2025-09-01
PICCADILLY GRAND,50-60,8,,,,2,,4600.0,,,0,23,,2026-05-01
BUKIT REGENCY,120-130,21,,,,NA,,4400.0,,,0,7,,2026-04-01
ROBERTSON 100,70-80,9,,,,,,,,,0,0,,2025-06-01
DOUBLE BAY RESIDENCES,140-150,18,OCR,99 yrs lease commencing from 2008,Condominium,4,2339000.0,6000.0,3.0782,32.486,2,7,2025-11-01,2026-04-01
POSHGROVE EAST,200-210,15,,,,4,,8300.0,,,0,3,,2026-04-01
18 WOODSVILLE,70-80,13,RCR,Freehold,Apartment,2,1460000.0,3800.0,3.1233,32.018,1,7,2025-10-01,2026-05-01
ESPANA,200-210,11,,,,3,,8200.0,,,0,1,,2026-01-01
DEVONSHIRE 12,60-70,9,,,,2,,4500.0,,,0,1,,2026-04-01
HOLLAND GEMS,160-170,10,,,,3,,7350.0,,,0,4,,2026-02-01
CLIVEDEN AT GRANGE,>300,10,,,,4,,20500.0,,,0,2,,2026-05-01
THE POIZ RESIDENCES,40-50,13,RCR,99 yrs lease commencing from 2014,Apartment,1,888000.0,3300.0,4.4595,22.424,5,58,2026-06-01,2026-05-01
THE ALPS RESIDENCES,40-50,18,OCR,99 yrs lease commencing from 2015,Condominium,1,757500.0,2800.0,4.4356,22.545,12,65,2026-05-01,2026-05-01
NV RESIDENCES,150-160,18,,,,4,,5500.0,,,0,1,,2025-09-01
BOTANIQUE AT BARTLEY,80-90,19,OCR,99 yrs lease commencing from 2014,Condominium,3,2215000.0,4800.0,2.6005,38.455,7,3,2026-06-01,2026-01-01
HOLLAND HILL LODGE,40-50,10,,,,NA,,2500.0,,,0,1,,2025-08-01
LIMAU PARK,140-150,16,OCR,Freehold,Condominium,3,2300000.0,4000.0,2.087,47.917,1,1,2026-05-01,2025-09-01
LE M RESIDENCE,150-160,15,,,,3,,4500.0,,,0,2,,2026-02-01
TYRWHITT 139,30-40,8,,,,1,,2875.0,,,0,4,,2026-03-01
SEASUITES,70-80,5,,,,,,,,,0,0,,2025-07-01
NEU AT NOVENA,60-70,11,CCR,Freehold,Apartment,2,1865000.0,4200.0,2.7024,37.004,1,7,2025-10-01,2026-04-01
AUSTVILLE RESIDENCES,150-160,19,OCR,99 yrs lease commencing from 2010,Executive Condominium,,,,,,0,0,2025-01-01,
J'DEN,110-120,22,OCR,99 yrs lease commencing from 2023,Apartment,,,,,,0,0,2025-07-01,
GRAND DUCHESS AT ST PATRICK'S,230-240,15,,,,4,,10500.0,,,0,1,,2025-08-01
LE CRESCENDO,70-80,14,,,,2,,3700.0,,,0,1,,2025-09-01
1 KING ALBERT PARK,90-100,21,,,,,,,,,0,0,,2025-07-01
COCO PALMS,130-140,18,OCR,99 yrs lease commencing from 2008,Condominium,,2372000.0,,,,1,0,2026-02-01,
NOVA 88,50-60,12,,,,1,,3300.0,,,0,5,,2026-01-01
EIGHT COURTYARDS,80-90,27,OCR,99 yrs lease commencing from 2010,Condominium,2,1210000.0,3750.0,3.719,26.889,3,11,2026-06-01,2026-05-01
NON-LANDED HOUSING DEVELOPMENT,240-250,9,,,,NA,,12200.0,,,0,2,,2026-04-01
TREVISTA,60-70,12,,,,1,,3600.0,,,0,9,,2026-04-01
ESCADA VIEW,90-100,14,,,,,,,,,0,0,,2025-05-01
DOUBLE BAY RESIDENCES,110-120,18,OCR,99 yrs lease commencing from 2008,Condominium,3,1817500.0,5000.0,3.3012,30.292,6,17,2026-03-01,2026-05-01
THE ALCOVE,100-110,14,,,,2,,3950.0,,,0,2,,2025-08-01
SKYE AT HOLLAND,130-140,10,CCR,99 yrs lease commencing from 2024,Apartment,,4455000.0,,,,37,0,2025-10-01,
TROPICAL SPRING,140-150,18,OCR,99 yrs lease commencing from 1997,Condominium,3,,4775.0,,,0,4,2025-01-01,2026-02-01
WARNER COURT,>300,10,,,,4,,9000.0,,,0,1,,2025-08-01
ONE-NORTH RESIDENCES,120-130,5,RCR,99 yrs lease commencing from 2005,Apartment,3,2510000.0,6925.0,3.3108,30.205,1,8,2026-03-01,2026-05-01
HARBOUR VIEW GARDENS,50-60,5,RCR,Freehold,Apartment,2,,4000.0,,,0,5,2025-03-01,2026-05-01
THE CREEK @ BUKIT,60-70,21,RCR,Freehold,Condominium,2,1418000.0,3600.0,3.0465,32.824,1,15,2026-05-01,2026-05-01
THE JOVELL,80-90,17,OCR,99 yrs lease commencing from 2018,Condominium,3,1330000.0,4000.0,3.609,27.708,3,5,2026-03-01,2026-05-01
THE ODEON KATONG,50-60,15,RCR,Freehold,Apartment,NA,995000.0,2800.0,3.3769,29.613,1,3,2026-06-01,2026-05-01
SARKIES GREEN,190-200,10,,,,3,,7500.0,,,0,1,,2026-01-01
LOFT @ STEVENS,30-40,10,CCR,Freehold,Apartment,1,839888.0,3075.0,4.3934,22.761,1,14,2025-12-01,2026-05-01
BISHAN POINT,80-90,20,RCR,99 yrs lease commencing from 1997,Condominium,,1711888.0,,,,3,0,2026-04-01,2025-05-01
MAPLE LEAF ELITE 2,100-110,8,,,,3,,5900.0,,,0,4,,2026-03-01
THE QUARTZ,140-150,19,,,,3,,5000.0,,,0,2,,2026-03-01
SIN CHUAN GARDEN,120-130,14,OCR,Freehold,Apartment,NA,1764000.0,4200.0,2.8571,35.0,1,1,2026-03-01,2025-11-01
BELMOND GREEN,170-180,10,,,,,,,,,0,0,,2025-04-01
WATERSCAPE AT CAVENAGH,90-100,9,CCR,Freehold,Apartment,2,1900000.0,5300.0,3.3474,29.874,1,15,2025-11-01,2026-05-01
THE MINTON,100-110,19,OCR,99 yrs lease commencing from 2007,Condominium,2,1730000.0,4500.0,3.1214,32.037,6,9,2026-07-01,2026-05-01
OLA,90-100,19,OCR,99 yrs lease commencing from 2018,Executive Condominium,3,1900000.0,4500.0,2.8421,35.185,1,1,2025-08-01,2025-12-01
SUITES @ TOPAZ,40-50,12,,,,1,,2600.0,,,0,1,,2026-04-01
SPRING RESIDENCES,160-170,10,,,,2,,5500.0,,,0,1,,2025-10-01
MARINA BAY RESIDENCES,60-70,1,CCR,99 yrs lease commencing from 2005,Condominium,1,1715000.0,5600.0,3.9184,25.521,4,51,2025-12-01,2026-05-01
CARDIFF RESIDENCE,50-60,19,,,,2,,3000.0,,,0,11,,2026-05-01
EMILY RESIDENCE,150-160,9,,,,2,,4808.0,,,0,2,,2025-12-01
PATERSON RESIDENCE,250-260,9,,,,4,,10500.0,,,0,1,,2026-03-01
PINETREE HILL,50-60,21,RCR,99 yrs lease commencing from 2022,Condominium,,,,,,0,0,2025-03-01,
ONE AKYAB,160-170,11,,,,3,,3900.0,,,0,1,,2025-09-01
AMARYLLIS VILLE,60-70,11,,,,1,,3700.0,,,0,9,,2026-04-01
BALCON EAST,110-120,16,,,,3,,4300.0,,,0,1,,2025-10-01
CAPE ROYALE,270-280,4,,,,,,,,,0,0,,2025-02-01
LAKE LIFE,140-150,22,,,Executive Condominium,5,,6000.0,,,0,1,,2026-05-01
RIVERSOUND RESIDENCE,120-130,19,OCR,99 yrs lease commencing from 2011,Condominium,,2030000.0,,,,1,0,2026-04-01,
PETAIN RD/TYRWHITT RD CONSERVATION AREA,130-140,8,,,,NA,,7000.0,,,0,1,,2026-01-01
LEONIE CONDOTEL,240-250,9,,,,4,,12000.0,,,0,3,,2026-02-01
MOUNTBATTEN SUITES,40-50,15,,,,1,,2800.0,,,0,1,,2025-12-01
CHERRYHILL,80-90,19,OCR,Freehold,Condominium,2,1600000.0,3450.0,2.5875,38.647,1,1,2026-04-01,2025-09-01
1 CANBERRA,170-180,27,OCR,99 yrs lease commencing from 2012,Executive Condominium,,2100000.0,,,,1,0,2026-03-01,
ANGULLIA PARK RESIDENCES @ ORCHARD,80-90,10,CCR,Freehold,Apartment,2,2450000.0,5500.0,2.6939,37.121,3,8,2025-09-01,2026-05-01
PARC VISTA,120-130,22,,,,2,,4650.0,,,0,2,,2026-01-01
KOVAN RESIDENCES,80-90,19,OCR,99 yrs lease commencing from 2007,Condominium,2,1742500.0,4075.0,2.8063,35.634,4,14,2026-03-01,2026-05-01
THE QUARTZ,110-120,19,OCR,99 yrs lease commencing from 2005,Condominium,NA,1831500.0,4450.0,2.9156,34.298,4,10,2026-03-01,2026-04-01
WINDY HEIGHTS,230-240,14,OCR,Freehold,Condominium,,3350000.0,,,,7,0,2026-05-01,
CLYDESWOOD,130-140,13,,,,3,,4250.0,,,0,1,,2025-11-01
RADIX,90-100,15,,,,3,,4300.0,,,0,1,,2026-03-01
THE CITRON RESIDENCES,60-70,8,RCR,Freehold,Apartment,2,1300000.0,4000.0,3.6923,27.083,6,16,2026-02-01,2026-05-01
DELUXE RESIDENCES,80-90,14,,,,,,,,,0,0,,2025-07-01
PARKTOWN RESIDENCE,80-90,18,OCR,99 yrs lease commencing from 2023,Apartment,,,,,,0,0,2025-05-01,
URBAN SUITES,90-100,9,,,,2,,7500.0,,,0,17,,2026-05-01
18 SHELFORD,190-200,11,,,,4,,7700.0,,,0,1,,2026-02-01
CHANCERY CORNER,110-120,11,,,,,,,,,0,0,,2025-07-01
SUN PLAZA,90-100,27,OCR,99 yrs lease commencing from 1996,Apartment,2,1125000.0,3675.0,3.92,25.51,2,6,2026-06-01,2026-04-01
PARC EMILY,110-120,9,CCR,Freehold,Condominium,3,2620000.0,6300.0,2.8855,34.656,3,21,2026-03-01,2026-05-01
THE DRAYCOTT,240-250,10,CCR,Freehold,Apartment,3,5818000.0,8900.0,1.8357,54.476,11,15,2026-06-01,2026-04-01
SKYPARK RESIDENCES,120-130,27,OCR,99 yrs lease commencing from 2013,Executive Condominium,4,2000000.0,4900.0,2.94,34.014,9,3,2026-06-01,2026-03-01
TANQUEELAN SUITES,80-90,7,,,,NA,,5050.0,,,0,1,,2025-08-01
THE ENCLAVE . HOLLAND,50-60,10,CCR,Freehold,Apartment,,1050000.0,,,,1,0,2026-04-01,
CITY GATE,60-70,7,RCR,99 yrs lease commencing from 2014,Apartment,2,1522500.0,3200.0,2.5222,39.648,12,35,2026-06-01,2026-05-01
URBAN HERITAGE,70-80,12,,,,,,,,,0,0,,2025-06-01
THE ESTRELLA,140-150,5,,,,3,,5600.0,,,0,2,,2026-01-01
WANDERVALE,100-110,23,OCR,99 yrs lease commencing from 2014,Executive Condominium,3,1741944.0,4150.0,2.8589,34.979,10,8,2026-06-01,2026-04-01
THE BOUTIQ,80-90,9,CCR,Freehold,Apartment,2,1900000.0,5050.0,3.1895,31.353,1,24,2025-08-01,2026-05-01
ONE-NORTH EDEN,100-110,5,RCR,99 yrs lease commencing from 2019,Apartment,3,2675444.0,7200.0,3.2294,30.966,2,1,2026-01-01,2026-02-01
VIBES @ KOVAN,30-40,19,OCR,Freehold,Apartment,1,630000.0,2500.0,4.7619,21.0,1,6,2025-11-01,2026-05-01
21 RICHARDS,60-70,19,,,,2,,3600.0,,,0,1,,2025-10-01
JADE GARDEN,170-180,10,CCR,Freehold,Apartment,,,,,,0,0,2025-03-01,
POLLEN & BLEU,130-140,10,,,,4,,8200.0,,,0,3,,2026-03-01
SEASONS VIEW,80-90,20,,,,2,,3500.0,,,0,5,,2026-05-01
AMARYLLIS VILLE,150-160,11,,,,4,,8500.0,,,0,3,,2026-05-01
PARC ELEGANCE,90-100,15,,,,2,,3300.0,,,0,1,,2026-02-01
28 IMPERIAL RESIDENCES,30-40,14,,,,1,,2300.0,,,0,5,,2026-01-01
HAIG APARTMENTS,110-120,15,,,,NA,,6000.0,,,0,1,,2026-01-01
ONE TREE HILL RESIDENCE,220-230,10,,,,,,,,,0,0,,2025-04-01
BAYVILLE CONDOMINIUM,170-180,5,,,,4,,6300.0,,,0,1,,2026-05-01
LA BRISA,30-40,14,,,,1,,2900.0,,,0,1,,2025-08-01
WALLICH RESIDENCE,180-190,2,,,,4,,20500.0,,,0,1,,2025-10-01
WATERFRONT GOLD,60-70,16,OCR,99 yrs lease commencing from 2009,Condominium,1,1064000.0,3300.0,3.7218,26.869,2,12,2026-03-01,2026-05-01
REZI 26,40-50,14,RCR,Freehold,Apartment,1,730000.0,2750.0,4.5205,22.121,1,18,2025-11-01,2026-05-01
RIVIERA RESIDENCES,160-170,16,,,,3,,6100.0,,,0,1,,2025-09-01
LYNDENWOODS,50-60,5,RCR,99 yrs lease commencing from 2025,Apartment,,,,,,0,0,2025-07-01,
THE PROMONT,190-200,9,,,,3,,10500.0,,,0,1,,2025-09-01
FLAMINGO VALLEY,80-90,15,OCR,Freehold,Condominium,2,1560000.0,4100.0,3.1538,31.707,3,7,2026-06-01,2026-02-01
AVON PARK,150-160,13,RCR,Freehold,Condominium,3,2938000.0,5500.0,2.2464,44.515,1,5,2025-11-01,2026-04-01
SIGNATURE PARK,150-160,21,RCR,Freehold,Condominium,4,3200000.0,5800.0,2.175,45.977,2,9,2026-01-01,2026-05-01
THE LINE @ TANJONG RHU,260-270,15,,,,,,,,,0,0,,2025-05-01
BALMORAL GATE,110-120,10,,,,2,,4950.0,,,0,6,,2026-01-01
NAVA GROVE,70-80,21,RCR,99 yrs lease commencing from 2024,Condominium,,2181500.0,,,,8,0,2026-05-01,
ONE JERVOIS,120-130,10,CCR,Freehold,Condominium,3,3230000.0,6650.0,2.4706,40.476,1,6,2025-09-01,2026-04-01
MURANO,140-150,5,,,,3,,5550.0,,,0,1,,2026-02-01
SUNFLOWER MANSIONS,100-110,14,,,,3,,5100.0,,,0,1,,2026-05-01
SUNSHINE LOFT,30-40,15,OCR,Freehold,Apartment,,,,,,0,0,2025-03-01,
THE PEAK @ CAIRNHILL I,60-70,9,CCR,Freehold,Apartment,1,,3600.0,,,0,5,2025-05-01,2026-03-01
ELIZABETH HEIGHTS,240-250,9,,,,4,,8500.0,,,0,2,,2026-02-01
THE LINEAR,110-120,23,OCR,999 yrs lease commencing from 1876,Apartment,3,1769000.0,4500.0,3.0526,32.759,2,14,2026-06-01,2026-05-01
SKY GREEN,90-100,13,RCR,Freehold,Condominium,,,,,,0,0,2025-07-01,2025-03-01
THE VERMONT ON CAIRNHILL,80-90,9,CCR,Freehold,Apartment,2,2160000.0,5250.0,2.9167,34.286,1,18,2025-09-01,2026-05-01
LE CRESCENDO,130-140,14,RCR,Freehold,Condominium,3,2484450.0,5600.0,2.7048,36.971,2,1,2026-03-01,2026-03-01
SANT RITZ,90-100,13,RCR,99 yrs lease commencing from 2012,Condominium,3,2080000.0,5000.0,2.8846,34.667,1,4,2026-06-01,2025-12-01
CARISSA PARK CONDOMINIUM,90-100,17,OCR,Freehold,Condominium,2,1130000.0,3200.0,3.3982,29.427,3,4,2025-12-01,2026-02-01
PALM VISTA,80-90,15,OCR,Freehold,Apartment,,,,,,0,0,2025-04-01,
WATERTOWN,70-80,19,OCR,99 yrs lease commencing from 2011,Apartment,2,1410000.0,3800.0,3.234,30.921,2,21,2026-03-01,2026-05-01
RV EDGE,90-100,10,CCR,Freehold,Apartment,,1680000.0,,,,1,0,2026-06-01,
VIZ AT HOLLAND,110-120,10,CCR,Freehold,Condominium,3,2628000.0,5725.0,2.6142,38.253,1,12,2026-06-01,2026-04-01
ASTOR GREEN,100-110,21,,,,2,,4200.0,,,0,3,,2026-02-01
ECHELON,140-150,3,RCR,99 yrs lease commencing from 2012,Condominium,4,3330000.0,7500.0,2.7027,37.0,2,2,2026-01-01,2026-04-01
SCENECA RESIDENCE,120-130,16,OCR,99 yrs lease commencing from 2021,Apartment,,,,,,0,0,2025-03-01,
THE BROWNSTONE,80-90,27,OCR,99 yrs lease commencing from 2014,Executive Condominium,3,1428888.0,4050.0,3.4012,29.401,19,34,2026-06-01,2026-05-01
EASTWOOD REGENCY,110-120,16,OCR,Freehold,Apartment,,1700000.0,,,,1,0,2026-06-01,
SUMMER GREEN,120-130,12,RCR,Freehold,Apartment,,1819400.0,,,,2,0,2025-11-01,
RAJAH TOWERS,190-200,12,RCR,Freehold,Apartment,3,2965000.0,5400.0,2.1855,45.756,1,2,2025-08-01,2026-05-01
SOLEIL @ SINARAN,>300,11,,,,5,,19000.0,,,0,2,,2026-03-01
KELIVILLE,>300,20,,,,4,,6500.0,,,0,1,,2025-08-01
ILLUMINAIRE ON DEVONSHIRE,40-50,9,CCR,Freehold,Apartment,NA,1050000.0,3400.0,3.8857,25.735,1,19,2025-11-01,2026-05-01
ST PATRICK'S RESIDENCES,230-240,15,OCR,Freehold,Apartment,5,4045000.0,8100.0,2.403,41.615,1,1,2025-08-01,2025-12-01
RV RESIDENCES,120-130,10,,,,,,,,,0,0,,2025-07-01
PARK COLONIAL,100-110,13,,,,4,,8300.0,,,0,5,,2026-05-01
CRESCENDO PARK,90-100,15,OCR,Freehold,Condominium,2,1850000.0,3700.0,2.4,41.667,1,1,2026-02-01,2025-11-01
PALM SPRING,80-90,10,,,,,,,,,0,0,,2025-07-01
FORETT@BUKIT TIMAH,170-180,21,,,,,,,,,0,0,,2025-01-01
CASA EMERALD,100-110,14,,,,3,,4500.0,,,0,2,,2026-05-01
BOATHOUSE RESIDENCES,80-90,19,OCR,99 yrs lease commencing from 2011,Condominium,2,1288000.0,3825.0,3.5637,28.061,3,4,2026-03-01,2026-04-01
ONE ROBIN,180-190,10,CCR,Freehold,Apartment,,4720000.0,,,,1,0,2026-05-01,
VUE 8 RESIDENCE,90-100,18,OCR,99 yrs lease commencing from 2012,Condominium,3,1568094.0,4300.0,3.2906,30.389,1,16,2026-03-01,2026-05-01
SIGLAP V,60-70,15,OCR,Freehold,Apartment,2,,3500.0,,,0,3,2025-05-01,2025-09-01
SKIES MILTONIA,120-130,27,OCR,99 yrs lease commencing from 2012,Condominium,4,1680888.0,5100.0,3.6409,27.465,1,4,2025-10-01,2025-11-01
THE EDEN AT TAMPINES,150-160,18,,,Executive Condominium,,,,,,0,0,,2025-03-01
THE TRIZON,500-550,10,CCR,Freehold,Condominium,,,,,,0,0,2025-02-01,
THE GALE,80-90,17,OCR,Freehold,Condominium,2,1230000.0,3300.0,3.2195,31.061,1,20,2025-12-01,2026-05-01
ONE DUSUN RESIDENCES,100-110,12,,,,3,,4000.0,,,0,1,,2025-11-01
PATERSON LINC,80-90,9,,,,2,,6000.0,,,0,1,,2025-11-01
SUMMER VIEW,110-120,14,,,,3,,3500.0,,,0,1,,2026-04-01
FLORIDIAN,70-80,21,,,,2,,4275.0,,,0,4,,2026-02-01
ARDOR RESIDENCE,140-150,15,RCR,Freehold,Apartment,,3868000.0,,,,1,0,2026-01-01,
OXLEY EDGE,90-100,9,CCR,Freehold,Apartment,2,1900000.0,4900.0,3.0947,32.313,1,1,2025-08-01,2025-10-01
BALLOTA PARK CONDOMINIUM,150-160,17,OCR,Freehold,Condominium,4,1895000.0,5000.0,3.1662,31.583,1,3,2025-09-01,2026-05-01
THE SERENNIA,160-170,15,,,,2,,5500.0,,,0,1,,2025-10-01
CAIRNHILL CREST,180-190,9,CCR,Freehold,Condominium,4,4715000.0,10000.0,2.5451,39.292,3,6,2026-05-01,2026-03-01
AXIS @ SIGLAP,70-80,15,,,,2,,3175.0,,,0,2,,2026-05-01
THE GAZANIA,80-90,19,OCR,Freehold,Condominium,3,,4775.0,,,0,2,2025-06-01,2026-01-01
WATERFRONT @ FABER,120-130,5,OCR,99 yrs lease commencing from 2013,Apartment,4,2115000.0,5700.0,3.234,30.921,2,1,2025-11-01,2026-04-01
GAIA,90-100,12,RCR,Freehold,Apartment,3,1740000.0,3800.0,2.6207,38.158,1,1,2026-04-01,2026-05-01
ROYALE MANSIONS,100-110,15,,,,,,,,,0,0,,2025-05-01
THE SEAWIND,60-70,15,OCR,Freehold,Condominium,NA,1210000.0,3300.0,3.2727,30.556,2,29,2025-11-01,2026-05-01
THE CREST,90-100,3,RCR,99 yrs lease commencing from 2012,Condominium,3,,6400.0,,,0,5,2025-07-01,2026-05-01
HOA NAM BUILDING,80-90,8,RCR,Freehold,Apartment,2,,3000.0,,,0,2,2025-03-01,2026-01-01
RIVERGATE,270-280,9,,,,,,,,,0,0,,2025-01-01
THE SERENNO,110-120,15,RCR,Freehold,Apartment,,,,,,0,0,2025-07-01,
TERRA HILL,90-100,5,RCR,Freehold,Apartment,,2466500.0,,,,4,0,2026-06-01,
THE INFLORA,120-130,17,,,,4,,4500.0,,,0,5,,2026-01-01
THE WATERINA,90-100,14,RCR,Freehold,Apartment,2,2025000.0,4400.0,2.6074,38.352,2,6,2026-04-01,2026-03-01
HILLOCK GREEN,60-70,26,OCR,99 yrs lease commencing from 2022,Apartment,,1638000.0,,,,3,0,2025-11-01,
SEAHILL,120-130,5,,,,3,,6300.0,,,0,1,,2025-11-01
HOMEY GARDENS,130-140,15,,,,3,,4200.0,,,0,1,,2026-03-01
MIDTOWN MODERN,40-50,7,CCR,99 yrs lease commencing from 2019,Apartment,1,1300000.0,4200.0,3.8769,25.794,1,51,2025-12-01,2026-05-01
BAYSHORE PARK,50-60,16,OCR,99 yrs lease commencing from 1982,Condominium,1,,2800.0,,,0,13,2025-05-01,2026-05-01
THE CONTINUUM,210-220,15,RCR,Freehold,Apartment,,6150000.0,,,,1,0,2026-04-01,
GRANDE VISTA,300-350,28,OCR,999 yrs lease commencing from 1886,Condominium,,,,,,0,0,2025-07-01,
TREVOSE PARK,160-170,11,,,,3,,7050.0,,,0,2,,2026-01-01
DUCHESS RESIDENCES,130-140,10,CCR,999 yrs lease commencing from 1875,Condominium,3,3512000.0,7050.0,2.4089,41.513,1,8,2026-05-01,2026-03-01
THE LAKEGARDEN RESIDENCES,180-190,22,OCR,99 yrs lease commencing from 2023,Apartment,,4380000.0,,,,1,0,2025-11-01,
ZAMAN CENTRE,40-50,8,,,,,,,,,0,0,,2025-02-01
