session_id,prospect_id,session_date,week_start,audience_segment,market,primary_device,session_order,sessions_in_journey,touch_pattern,channel_group,journey_path,visitor_status,engaged_session_flag,lead_event_flag,lead_flag,enrollment_equivalent_flag,session_quality_score,session_duration_seconds,pageviews,touch_role,first_touch_credit,last_touch_credit,linear_credit,transaction_revenue
MKG-00009-S2,MKG-00009,2020-11-07,2020-11-02,Research-Heavy Browsers,National Market,Mobile,2,4,Four-plus,Paid Social,Paid Social > Paid Social > Direct > Paid Search,Returning,0,0,1,0,58,220,4,Assist,0.0,0.0,0.0,0.0
MKG-00009-S3,MKG-00009,2020-11-09,2020-11-09,Research-Heavy Browsers,National Market,Mobile,3,4,Four-plus,Direct,Paid Social > Paid Social > Direct > Paid Search,Returning,1,0,1,0,82,324,4,Assist,0.0,0.0,0.0,0.0
MKG-00009-S4,MKG-00009,2020-11-13,2020-11-09,Research-Heavy Browsers,National Market,Mobile,4,4,Four-plus,Paid Search,Paid Social > Paid Social > Direct > Paid Search,Returning,1,0,1,0,88,272,7,Last session,0.0,0.0,0.0,0.0
MKG-00010-S1,MKG-00010,2020-12-21,2020-12-21,Cross-Border Shoppers,National Market,Desktop,1,5,Four-plus,Referral,Referral > Organic Search > Email > Paid Search > Direct,New,1,1,1,0,78,319,5,First touch,1.0,0.0,0.2,0.0
MKG-00010-S2,MKG-00010,2020-12-27,2020-12-21,Cross-Border Shoppers,National Market,Desktop,2,5,Four-plus,Organic Search,Referral > Organic Search > Email > Paid Search > Direct,Returning,1,0,1,0,81,351,5,Assist,0.0,0.0,0.2,0.0
MKG-00010-S3,MKG-00010,2020-12-31,2020-12-28,Cross-Border Shoppers,National Market,Desktop,3,5,Four-plus,Email,Referral > Organic Search > Email > Paid Search > Direct,Returning,1,0,1,0,93,293,6,Assist,0.0,0.0,0.2,0.0
MKG-00010-S4,MKG-00010,2021-01-04,2021-01-04,Cross-Border Shoppers,National Market,Desktop,4,5,Four-plus,Paid Search,Referral > Organic Search > Email > Paid Search > Direct,Returning,1,0,1,0,85,324,8,Assist,0.0,0.0,0.2,0.0
MKG-00010-S5,MKG-00010,2021-01-08,2021-01-04,Cross-Border Shoppers,National Market,Desktop,5,5,Four-plus,Direct,Referral > Organic Search > Email > Paid Search > Direct,Returning,1,0,1,1,98,277,5,Closer,0.0,1.0,0.2,153.48
MKG-00011-S1,MKG-00011,2020-11-21,2020-11-16,Research-Heavy Browsers,Regional Market,Mobile,1,2,Two-touch,Email,Email > Paid Social,New,0,0,0,0,64,263,6,First touch,0.0,0.0,0.0,0.0
MKG-00011-S2,MKG-00011,2020-11-24,2020-11-23,Research-Heavy Browsers,Regional Market,Mobile,2,2,Two-touch,Paid Social,Email > Paid Social,Returning,1,0,0,0,64,268,5,Last session,0.0,0.0,0.0,0.0
MKG-00012-S1,MKG-00012,2021-01-03,2020-12-28,Cross-Border Shoppers,International Market,Desktop,1,1,Single-touch,Paid Search,Paid Search,New,1,1,1,0,81,268,5,Single-touch,0.0,0.0,0.0,0.0
MKG-00013-S1,MKG-00013,2020-11-07,2020-11-02,Brand Returners,Regional Market,Mobile,1,3,Three-touch,Organic Search,Organic Search > Paid Search > Paid Search,New,0,0,0,0,70,307,5,First touch,0.0,0.0,0.0,0.0
MKG-00013-S2,MKG-00013,2020-11-13,2020-11-09,Brand Returners,Regional Market,Mobile,2,3,Three-touch,Paid Search,Organic Search > Paid Search > Paid Search,Returning,0,0,0,0,65,265,5,Assist,0.0,0.0,0.0,0.0
MKG-00013-S3,MKG-00013,2020-11-21,2020-11-16,Brand Returners,Regional Market,Mobile,3,3,Three-touch,Paid Search,Organic Search > Paid Search > Paid Search,Returning,1,0,0,0,83,293,8,Last session,0.0,0.0,0.0,0.0
MKG-00014-S1,MKG-00014,2021-01-05,2021-01-04,Brand Returners,Regional Market,Desktop,1,1,Single-touch,Paid Search,Paid Search,New,1,1,1,1,75,299,8,Single-touch,1.0,1.0,1.0,109.37
MKG-00015-S1,MKG-00015,2020-12-01,2020-11-30,Brand Returners,Core Market,Desktop,1,3,Three-touch,Organic Search,Organic Search > Email > Paid Search,New,1,0,1,0,82,372,7,First touch,1.0,0.0,0.3333333333333333,0.0
MKG-00015-S2,MKG-00015,2020-12-10,2020-12-07,Brand Returners,Core Market,Desktop,2,3,Three-touch,Email,Organic Search > Email > Paid Search,Returning,0,0,1,0,72,324,5,Assist,0.0,0.0,0.3333333333333333,0.0
MKG-00015-S3,MKG-00015,2020-12-11,2020-12-07,Brand Returners,Core Market,Desktop,3,3,Three-touch,Paid Search,Organic Search > Email > Paid Search,Returning,1,1,1,1,84,313,6,Closer,0.0,1.0,0.3333333333333333,119.3
MKG-00016-S1,MKG-00016,2020-12-07,2020-12-07,Promo Responders,Core Market,Mobile,1,4,Four-plus,Paid Search,Paid Search > Paid Social > Direct > Direct,New,0,0,1,0,54,269,5,First touch,0.0,0.0,0.0,0.0
MKG-00016-S2,MKG-00016,2020-12-10,2020-12-07,Promo Responders,Core Market,Mobile,2,4,Four-plus,Paid Social,Paid Search > Paid Social > Direct > Direct,Returning,1,1,1,0,77,279,4,Assist,0.0,0.0,0.0,0.0
MKG-00016-S3,MKG-00016,2020-12-12,2020-12-07,Promo Responders,Core Market,Mobile,3,4,Four-plus,Direct,Paid Search > Paid Social > Direct > Direct,Returning,0,0,1,0,72,284,6,Assist,0.0,0.0,0.0,0.0
MKG-00016-S4,MKG-00016,2020-12-19,2020-12-14,Promo Responders,Core Market,Mobile,4,4,Four-plus,Direct,Paid Search > Paid Social > Direct > Direct,Returning,1,0,1,0,90,305,8,Last session,0.0,0.0,0.0,0.0
MKG-00017-S1,MKG-00017,2020-12-09,2020-12-07,Research-Heavy Browsers,Regional Market,Tablet,1,2,Two-touch,Email,Email > Organic Search,New,1,0,1,0,74,312,7,First touch,1.0,0.0,0.5,0.0
MKG-00017-S2,MKG-00017,2020-12-15,2020-12-14,Research-Heavy Browsers,Regional Market,Tablet,2,2,Two-touch,Organic Search,Email > Organic Search,Returning,1,1,1,1,75,314,7,Closer,0.0,1.0,0.5,135.64
MKG-00018-S1,MKG-00018,2021-01-05,2021-01-04,Promo Responders,National Market,Desktop,1,1,Single-touch,Paid Search,Paid Search,New,0,0,0,0,65,192,7,Single-touch,0.0,0.0,0.0,0.0
MKG-00019-S1,MKG-00019,2020-11-24,2020-11-23,Promo Responders,National Market,Mobile,1,5,Four-plus,Referral,Referral > Direct > Referral > Referral > Organic Search,New,0,0,0,0,67,248,5,First touch,0.0,0.0,0.0,0.0
MKG-00019-S2,MKG-00019,2020-12-01,2020-11-30,Promo Responders,National Market,Mobile,2,5,Four-plus,Direct,Referral > Direct > Referral > Referral > Organic Search,Returning,0,0,0,0,80,263,6,Assist,0.0,0.0,0.0,0.0
MKG-00019-S3,MKG-00019,2020-12-08,2020-12-07,Promo Responders,National Market,Mobile,3,5,Four-plus,Referral,Referral > Direct > Referral > Referral > Organic Search,Returning,0,0,0,0,71,284,7,Assist,0.0,0.0,0.0,0.0
MKG-00019-S4,MKG-00019,2020-12-12,2020-12-07,Promo Responders,National Market,Mobile,4,5,Four-plus,Referral,Referral > Direct > Referral > Referral > Organic Search,Returning,1,0,0,0,96,258,8,Assist,0.0,0.0,0.0,0.0
MKG-00019-S5,MKG-00019,2020-12-20,2020-12-14,Promo Responders,National Market,Mobile,5,5,Four-plus,Organic Search,Referral > Direct > Referral > Referral > Organic Search,Returning,1,0,0,0,89,372,8,Last session,0.0,0.0,0.0,0.0
MKG-00020-S1,MKG-00020,2020-11-03,2020-11-02,Research-Heavy Browsers,National Market,Tablet,1,5,Four-plus,Paid Search,Paid Search > Paid Social > Organic Search > Email > Direct,New,1,0,1,0,75,289,4,First touch,0.0,0.0,0.0,0.0
MKG-00020-S2,MKG-00020,2020-11-07,2020-11-02,Research-Heavy Browsers,National Market,Tablet,2,5,Four-plus,Paid Social,Paid Search > Paid Social > Organic Search > Email > Direct,Returning,0,0,1,0,55,218,4,Assist,0.0,0.0,0.0,0.0
MKG-00020-S3,MKG-00020,2020-11-10,2020-11-09,Research-Heavy Browsers,National Market,Tablet,3,5,Four-plus,Organic Search,Paid Search > Paid Social > Organic Search > Email > Direct,Returning,0,1,1,0,87,276,7,Assist,0.0,0.0,0.0,0.0
MKG-00020-S4,MKG-00020,2020-11-13,2020-11-09,Research-Heavy Browsers,National Market,Tablet,4,5,Four-plus,Email,Paid Search > Paid Social > Organic Search > Email > Direct,Returning,1,0,1,0,92,343,6,Assist,0.0,0.0,0.0,0.0
MKG-00020-S5,MKG-00020,2020-11-15,2020-11-09,Research-Heavy Browsers,National Market,Tablet,5,5,Four-plus,Direct,Paid Search > Paid Social > Organic Search > Email > Direct,Returning,1,0,1,0,82,279,8,Last session,0.0,0.0,0.0,0.0
MKG-00021-S1,MKG-00021,2020-12-29,2020-12-28,Research-Heavy Browsers,Core Market,Desktop,1,2,Two-touch,Paid Social,Paid Social > Email,New,0,1,1,0,66,209,3,First touch,1.0,0.0,0.5,0.0
MKG-00021-S2,MKG-00021,2020-12-31,2020-12-28,Research-Heavy Browsers,Core Market,Desktop,2,2,Two-touch,Email,Paid Social > Email,Returning,0,0,1,1,88,330,5,Closer,0.0,1.0,0.5,116.73
MKG-00022-S1,MKG-00022,2020-11-21,2020-11-16,Cross-Border Shoppers,International Market,Desktop,1,4,Four-plus,Email,Email > Direct > Referral > Direct,New,0,0,1,0,69,292,5,First touch,1.0,0.0,0.25,0.0
MKG-00022-S2,MKG-00022,2020-11-30,2020-11-30,Cross-Border Shoppers,International Market,Desktop,2,4,Four-plus,Direct,Email > Direct > Referral > Direct,Returning,1,0,1,0,82,292,6,Assist,0.0,0.0,0.25,0.0
MKG-00022-S3,MKG-00022,2020-12-01,2020-11-30,Cross-Border Shoppers,International Market,Desktop,3,4,Four-plus,Referral,Email > Direct > Referral > Direct,Returning,1,0,1,0,90,277,7,Assist,0.0,0.0,0.25,0.0
MKG-00022-S4,MKG-00022,2020-12-03,2020-11-30,Cross-Border Shoppers,International Market,Desktop,4,4,Four-plus,Direct,Email > Direct > Referral > Direct,Returning,1,1,1,1,98,312,7,Closer,0.0,1.0,0.25,114.84
MKG-00023-S1,MKG-00023,2020-11-02,2020-11-02,Brand Returners,National Market,Mobile,1,4,Four-plus,Paid Search,Paid Search > Referral > Paid Search > Email,New,0,1,1,0,53,258,5,First touch,1.0,0.0,0.25,0.0
MKG-00023-S2,MKG-00023,2020-11-08,2020-11-02,Brand Returners,National Market,Mobile,2,4,Four-plus,Referral,Paid Search > Referral > Paid Search > Email,Returning,0,0,1,0,65,250,5,Assist,0.0,0.0,0.25,0.0
MKG-00023-S3,MKG-00023,2020-11-15,2020-11-09,Brand Returners,National Market,Mobile,3,4,Four-plus,Paid Search,Paid Search > Referral > Paid Search > Email,Returning,1,0,1,0,85,322,7,Assist,0.0,0.0,0.25,0.0
MKG-00023-S4,MKG-00023,2020-11-18,2020-11-16,Brand Returners,National Market,Mobile,4,4,Four-plus,Email,Paid Search > Referral > Paid Search > Email,Returning,0,0,1,1,76,277,6,Closer,0.0,1.0,0.25,141.25
MKG-00024-S1,MKG-00024,2020-12-10,2020-12-07,Brand Returners,Regional Market,Desktop,1,4,Four-plus,Direct,Direct > Direct > Direct > Referral,New,1,0,1,0,73,306,5,First touch,1.0,0.0,0.25,0.0
MKG-00024-S2,MKG-00024,2020-12-16,2020-12-14,Brand Returners,Regional Market,Desktop,2,4,Four-plus,Direct,Direct > Direct > Direct > Referral,Returning,1,1,1,0,80,321,5,Assist,0.0,0.0,0.25,0.0
MKG-00024-S3,MKG-00024,2020-12-21,2020-12-21,Brand Returners,Regional Market,Desktop,3,4,Four-plus,Direct,Direct > Direct > Direct > Referral,Returning,1,0,1,0,98,295,7,Assist,0.0,0.0,0.25,0.0
MKG-00024-S4,MKG-00024,2020-12-26,2020-12-21,Brand Returners,Regional Market,Desktop,4,4,Four-plus,Referral,Direct > Direct > Direct > Referral,Returning,1,0,1,1,90,320,8,Closer,0.0,1.0,0.25,149.6
MKG-00025-S1,MKG-00025,2020-12-05,2020-11-30,Promo Responders,Regional Market,Desktop,1,3,Three-touch,Paid Search,Paid Search > Direct > Email,New,0,1,1,0,65,250,5,First touch,1.0,0.0,0.3333333333333333,0.0
MKG-00025-S2,MKG-00025,2020-12-08,2020-12-07,Promo Responders,Regional Market,Desktop,2,3,Three-touch,Direct,Paid Search > Direct > Email,Returning,1,0,1,0,84,343,7,Assist,0.0,0.0,0.3333333333333333,0.0
MKG-00025-S3,MKG-00025,2020-12-12,2020-12-07,Promo Responders,Regional Market,Desktop,3,3,Three-touch,Email,Paid Search > Direct > Email,Returning,1,0,1,1,89,365,8,Closer,0.0,1.0,0.3333333333333333,110.71
MKG-00026-S1,MKG-00026,2020-11-23,2020-11-23,Research-Heavy Browsers,Core Market,Desktop,1,1,Single-touch,Paid Social,Paid Social,New,0,0,0,0,72,217,4,Single-touch,0.0,0.0,0.0,0.0
MKG-00027-S1,MKG-00027,2020-12-12,2020-12-07,Research-Heavy Browsers,Regional Market,Mobile,1,3,Three-touch,Direct,Direct > Paid Search > Email,New,1,1,1,0,70,285,5,First touch,0.0,0.0,0.0,0.0
MKG-00027-S2,MKG-00027,2020-12-13,2020-12-07,Research-Heavy Browsers,Regional Market,Mobile,2,3,Three-touch,Paid Search,Direct > Paid Search > Email,Returning,0,0,1,0,73,239,5,Assist,0.0,0.0,0.0,0.0
MKG-00027-S3,MKG-00027,2020-12-14,2020-12-14,Research-Heavy Browsers,Regional Market,Mobile,3,3,Three-touch,Email,Direct > Paid Search > Email,Returning,0,0,1,0,80,263,5,Last session,0.0,0.0,0.0,0.0
MKG-00028-S1,MKG-00028,2020-11-17,2020-11-16,Promo Responders,Core Market,Desktop,1,4,Four-plus,Referral,Referral > Direct > Email > Paid Search,New,1,1,1,0,80,339,6,First touch,0.0,0.0,0.0,0.0
MKG-00028-S2,MKG-00028,2020-11-20,2020-11-16,Promo Responders,Core Market,Desktop,2,4,Four-plus,Direct,Referral > Direct > Email > Paid Search,Returning,0,0,1,0,66,257,4,Assist,0.0,0.0,0.0,0.0
MKG-00028-S3,MKG-00028,2020-11-23,2020-11-23,Promo Responders,Core Market,Desktop,3,4,Four-plus,Email,Referral > Direct > Email > Paid Search,Returning,1,0,1,0,94,397,7,Assist,0.0,0.0,0.0,0.0
MKG-00028-S4,MKG-00028,2020-11-25,2020-11-23,Promo Responders,Core Market,Desktop,4,4,Four-plus,Paid Search,Referral > Direct > Email > Paid Search,Returning,1,0,1,0,83,281,6,Last session,0.0,0.0,0.0,0.0
MKG-00029-S1,MKG-00029,2020-12-16,2020-12-14,Cross-Border Shoppers,International Market,Mobile,1,2,Two-touch,Email,Email > Email,New,0,0,1,0,64,267,5,First touch,1.0,0.0,0.5,0.0
MKG-00029-S2,MKG-00029,2020-12-21,2020-12-21,Cross-Border Shoppers,International Market,Mobile,2,2,Two-touch,Email,Email > Email,Returning,1,1,1,1,76,326,7,Closer,0.0,1.0,0.5,102.73
MKG-00030-S1,MKG-00030,2020-12-31,2020-12-28,Promo Responders,Regional Market,Desktop,1,3,Three-touch,Paid Search,Paid Search > Direct > Organic Search,New,1,0,1,0,80,263,6,First touch,1.0,0.0,0.3333333333333333,0.0
MKG-00030-S2,MKG-00030,2021-01-04,2021-01-04,Promo Responders,Regional Market,Desktop,2,3,Three-touch,Direct,Paid Search > Direct > Organic Search,Returning,1,1,1,0,87,277,5,Assist,0.0,0.0,0.3333333333333333,0.0
MKG-00030-S3,MKG-00030,2021-01-06,2021-01-04,Promo Responders,Regional Market,Desktop,3,3,Three-touch,Organic Search,Paid Search > Direct > Organic Search,Returning,1,0,1,1,96,335,8,Closer,0.0,1.0,0.3333333333333333,148.03
MKG-00031-S1,MKG-00031,2020-12-23,2020-12-21,Promo Responders,National Market,Tablet,1,3,Three-touch,Paid Social,Paid Social > Organic Search > Email,New,0,0,0,0,62,209,3,First touch,0.0,0.0,0.0,0.0
MKG-00031-S2,MKG-00031,2020-12-30,2020-12-28,Promo Responders,National Market,Tablet,2,3,Three-touch,Organic Search,Paid Social > Organic Search > Email,Returning,1,0,0,0,88,341,6,Assist,0.0,0.0,0.0,0.0
MKG-00031-S3,MKG-00031,2021-01-08,2021-01-04,Promo Responders,National Market,Tablet,3,3,Three-touch,Email,Paid Social > Organic Search > Email,Returning,1,0,0,0,81,323,8,Last session,0.0,0.0,0.0,0.0
MKG-00032-S1,MKG-00032,2020-11-12,2020-11-09,Brand Returners,Regional Market,Desktop,1,1,Single-touch,Direct,Direct,New,1,0,0,0,71,281,5,Single-touch,0.0,0.0,0.0,0.0
MKG-00033-S1,MKG-00033,2020-11-28,2020-11-23,Research-Heavy Browsers,National Market,Mobile,1,5,Four-plus,Direct,Direct > Organic Search > Organic Search > Paid Search > Direct,New,1,0,1,0,64,360,5,First touch,1.0,0.0,0.2,0.0
MKG-00033-S2,MKG-00033,2020-11-30,2020-11-30,Research-Heavy Browsers,National Market,Mobile,2,5,Four-plus,Organic Search,Direct > Organic Search > Organic Search > Paid Search > Direct,Returning,1,1,1,0,82,329,6,Assist,0.0,0.0,0.2,0.0
MKG-00033-S3,MKG-00033,2020-12-05,2020-11-30,Research-Heavy Browsers,National Market,Mobile,3,5,Four-plus,Organic Search,Direct > Organic Search > Organic Search > Paid Search > Direct,Returning,1,0,1,0,91,308,7,Assist,0.0,0.0,0.2,0.0
MKG-00033-S4,MKG-00033,2020-12-09,2020-12-07,Research-Heavy Browsers,National Market,Mobile,4,5,Four-plus,Paid Search,Direct > Organic Search > Organic Search > Paid Search > Direct,Returning,1,0,1,0,89,254,9,Assist,0.0,0.0,0.2,0.0
MKG-00033-S5,MKG-00033,2020-12-10,2020-12-07,Research-Heavy Browsers,National Market,Mobile,5,5,Four-plus,Direct,Direct > Organic Search > Organic Search > Paid Search > Direct,Returning,1,0,1,1,80,270,8,Closer,0.0,1.0,0.2,162.85
MKG-00034-S1,MKG-00034,2020-12-19,2020-12-14,Research-Heavy Browsers,Regional Market,Mobile,1,1,Single-touch,Direct,Direct,New,1,0,0,0,73,325,5,Single-touch,0.0,0.0,0.0,0.0
MKG-00035-S1,MKG-00035,2021-01-03,2020-12-28,Brand Returners,National Market,Desktop,1,2,Two-touch,Organic Search,Organic Search > Direct,New,1,0,1,0,80,306,6,First touch,1.0,0.0,0.5,0.0
MKG-00035-S2,MKG-00035,2021-01-04,2021-01-04,Brand Returners,National Market,Desktop,2,2,Two-touch,Direct,Organic Search > Direct,Returning,1,1,1,1,80,250,7,Closer,0.0,1.0,0.5,138.87
MKG-00036-S1,MKG-00036,2020-11-27,2020-11-23,Research-Heavy Browsers,National Market,Mobile,1,1,Single-touch,Paid Social,Paid Social,New,0,0,0,0,58,187,3,Single-touch,0.0,0.0,0.0,0.0
MKG-00037-S1,MKG-00037,2020-12-17,2020-12-14,Research-Heavy Browsers,Core Market,Desktop,1,3,Three-touch,Organic Search,Organic Search > Direct > Paid Social,New,0,0,0,0,69,266,5,First touch,0.0,0.0,0.0,0.0
MKG-00037-S2,MKG-00037,2020-12-18,2020-12-14,Research-Heavy Browsers,Core Market,Desktop,2,3,Three-touch,Direct,Organic Search > Direct > Paid Social,Returning,1,0,0,0,84,239,6,Assist,0.0,0.0,0.0,0.0
MKG-00037-S3,MKG-00037,2020-12-26,2020-12-21,Research-Heavy Browsers,Core Market,Desktop,3,3,Three-touch,Paid Social,Organic Search > Direct > Paid Social,Returning,1,0,0,0,74,299,6,Last session,0.0,0.0,0.0,0.0
MKG-00038-S1,MKG-00038,2020-11-07,2020-11-02,Research-Heavy Browsers,Regional Market,Mobile,1,4,Four-plus,Paid Social,Paid Social > Referral > Referral > Organic Search,New,1,0,0,0,62,232,4,First touch,0.0,0.0,0.0,0.0
MKG-00038-S2,MKG-00038,2020-11-16,2020-11-16,Research-Heavy Browsers,Regional Market,Mobile,2,4,Four-plus,Referral,Paid Social > Referral > Referral > Organic Search,Returning,0,0,0,0,65,274,5,Assist,0.0,0.0,0.0,0.0
MKG-00038-S3,MKG-00038,2020-11-18,2020-11-16,Research-Heavy Browsers,Regional Market,Mobile,3,4,Four-plus,Referral,Paid Social > Referral > Referral > Organic Search,Returning,1,0,0,0,77,329,7,Assist,0.0,0.0,0.0,0.0
MKG-00038-S4,MKG-00038,2020-11-27,2020-11-23,Research-Heavy Browsers,Regional Market,Mobile,4,4,Four-plus,Organic Search,Paid Social > Referral > Referral > Organic Search,Returning,0,0,0,0,95,274,4,Last session,0.0,0.0,0.0,0.0
MKG-00039-S1,MKG-00039,2020-12-23,2020-12-21,Research-Heavy Browsers,National Market,Mobile,1,4,Four-plus,Paid Social,Paid Social > Paid Social > Email > Direct,New,0,0,1,0,64,234,4,First touch,0.0,0.0,0.0,0.0
MKG-00039-S2,MKG-00039,2020-12-31,2020-12-28,Research-Heavy Browsers,National Market,Mobile,2,4,Four-plus,Paid Social,Paid Social > Paid Social > Email > Direct,Returning,1,1,1,0,71,214,6,Assist,0.0,0.0,0.0,0.0
MKG-00039-S3,MKG-00039,2021-01-06,2021-01-04,Research-Heavy Browsers,National Market,Mobile,3,4,Four-plus,Email,Paid Social > Paid Social > Email > Direct,Returning,0,0,1,0,78,305,4,Assist,0.0,0.0,0.0,0.0
MKG-00039-S4,MKG-00039,2021-01-13,2021-01-11,Research-Heavy Browsers,National Market,Mobile,4,4,Four-plus,Direct,Paid Social > Paid Social > Email > Direct,Returning,0,0,1,0,72,283,4,Last session,0.0,0.0,0.0,0.0
MKG-00040-S1,MKG-00040,2020-11-14,2020-11-09,Research-Heavy Browsers,Core Market,Desktop,1,1,Single-touch,Paid Social,Paid Social,New,0,0,0,0,64,170,4,Single-touch,0.0,0.0,0.0,0.0
MKG-00041-S1,MKG-00041,2020-11-09,2020-11-09,Promo Responders,National Market,Desktop,1,3,Three-touch,Organic Search,Organic Search > Paid Search > Direct,New,1,0,1,0,86,329,7,First touch,1.0,0.0,0.3333333333333333,0.0
MKG-00041-S2,MKG-00041,2020-11-13,2020-11-09,Promo Responders,National Market,Desktop,2,3,Three-touch,Paid Search,Organic Search > Paid Search > Direct,Returning,0,1,1,0,68,278,7,Assist,0.0,0.0,0.3333333333333333,0.0
MKG-00041-S3,MKG-00041,2020-11-19,2020-11-16,Promo Responders,National Market,Desktop,3,3,Three-touch,Direct,Organic Search > Paid Search > Direct,Returning,0,0,1,1,77,268,6,Closer,0.0,1.0,0.3333333333333333,119.88
MKG-00042-S1,MKG-00042,2020-12-03,2020-11-30,Brand Returners,National Market,Desktop,1,2,Two-touch,Email,Email > Email,New,1,0,1,0,84,249,7,First touch,1.0,0.0,0.5,0.0
MKG-00042-S2,MKG-00042,2020-12-06,2020-11-30,Brand Returners,National Market,Desktop,2,2,Two-touch,Email,Email > Email,Returning,1,1,1,1,91,308,7,Closer,0.0,1.0,0.5,108.64
MKG-00043-S1,MKG-00043,2020-11-14,2020-11-09,Brand Returners,Core Market,Tablet,1,1,Single-touch,Referral,Referral,New,0,0,0,0,70,300,6,Single-touch,0.0,0.0,0.0,0.0
