prospect_id,audience_segment,market,primary_device,sessions_in_journey,touch_pattern,engaged_sessions,unique_channels,first_touch_channel,lead_touch_channel,last_touch_channel,lead_flag,enrollment_equivalent_flag,days_to_lead,days_to_enrollment,transaction_revenue,journey_path
MKG-00023,Brand Returners,National Market,Mobile,4,Four-plus,1,3,Paid Search,Paid Search,Email,1,1,0.0,16.0,141.25,Paid Search > Referral > Paid Search > Email
MKG-00024,Brand Returners,Regional Market,Desktop,4,Four-plus,4,2,Direct,Direct,Referral,1,1,6.0,16.0,149.6,Direct > Direct > Direct > Referral
MKG-00025,Promo Responders,Regional Market,Desktop,3,Three-touch,2,3,Paid Search,Paid Search,Email,1,1,0.0,7.0,110.71,Paid Search > Direct > Email
MKG-00026,Research-Heavy Browsers,Core Market,Desktop,1,Single-touch,0,1,Paid Social,,Paid Social,0,0,,,0.0,Paid Social
MKG-00027,Research-Heavy Browsers,Regional Market,Mobile,3,Three-touch,1,3,Direct,Direct,Email,1,0,0.0,,0.0,Direct > Paid Search > Email
MKG-00028,Promo Responders,Core Market,Desktop,4,Four-plus,3,4,Referral,Referral,Paid Search,1,0,0.0,,0.0,Referral > Direct > Email > Paid Search
MKG-00029,Cross-Border Shoppers,International Market,Mobile,2,Two-touch,1,1,Email,Email,Email,1,1,5.0,5.0,102.73,Email > Email
MKG-00030,Promo Responders,Regional Market,Desktop,3,Three-touch,3,3,Paid Search,Direct,Organic Search,1,1,4.0,6.0,148.03,Paid Search > Direct > Organic Search
MKG-00031,Promo Responders,National Market,Tablet,3,Three-touch,2,3,Paid Social,,Email,0,0,,,0.0,Paid Social > Organic Search > Email
MKG-00032,Brand Returners,Regional Market,Desktop,1,Single-touch,1,1,Direct,,Direct,0,0,,,0.0,Direct
MKG-00033,Research-Heavy Browsers,National Market,Mobile,5,Four-plus,5,3,Direct,Organic Search,Direct,1,1,2.0,12.0,162.85,Direct > Organic Search > Organic Search > Paid Search > Direct
MKG-00034,Research-Heavy Browsers,Regional Market,Mobile,1,Single-touch,1,1,Direct,,Direct,0,0,,,0.0,Direct
MKG-00035,Brand Returners,National Market,Desktop,2,Two-touch,2,2,Organic Search,Direct,Direct,1,1,1.0,1.0,138.87,Organic Search > Direct
MKG-00036,Research-Heavy Browsers,National Market,Mobile,1,Single-touch,0,1,Paid Social,,Paid Social,0,0,,,0.0,Paid Social
MKG-00037,Research-Heavy Browsers,Core Market,Desktop,3,Three-touch,2,3,Organic Search,,Paid Social,0,0,,,0.0,Organic Search > Direct > Paid Social
MKG-00038,Research-Heavy Browsers,Regional Market,Mobile,4,Four-plus,2,3,Paid Social,,Organic Search,0,0,,,0.0,Paid Social > Referral > Referral > Organic Search
MKG-00039,Research-Heavy Browsers,National Market,Mobile,4,Four-plus,1,3,Paid Social,Paid Social,Direct,1,0,8.0,,0.0,Paid Social > Paid Social > Email > Direct
MKG-00040,Research-Heavy Browsers,Core Market,Desktop,1,Single-touch,0,1,Paid Social,,Paid Social,0,0,,,0.0,Paid Social
MKG-00041,Promo Responders,National Market,Desktop,3,Three-touch,1,3,Organic Search,Paid Search,Direct,1,1,4.0,10.0,119.88,Organic Search > Paid Search > Direct
MKG-00042,Brand Returners,National Market,Desktop,2,Two-touch,2,1,Email,Email,Email,1,1,3.0,3.0,108.64,Email > Email
MKG-00043,Brand Returners,Core Market,Tablet,1,Single-touch,0,1,Referral,,Referral,0,0,,,0.0,Referral
MKG-00044,Promo Responders,National Market,Mobile,2,Two-touch,2,2,Referral,Referral,Direct,1,1,0.0,7.0,95.43,Referral > Direct
MKG-00045,Research-Heavy Browsers,Regional Market,Desktop,5,Four-plus,3,4,Organic Search,Paid Social,Email,1,1,13.0,21.0,161.61,Organic Search > Direct > Paid Social > Paid Social > Email
MKG-00046,Promo Responders,National Market,Desktop,1,Single-touch,1,1,Organic Search,Organic Search,Organic Search,1,0,0.0,,0.0,Organic Search
MKG-00047,Cross-Border Shoppers,International Market,Desktop,4,Four-plus,3,2,Paid Search,Paid Search,Email,1,1,0.0,14.0,144.83,Paid Search > Paid Search > Email > Email
MKG-00048,Research-Heavy Browsers,Regional Market,Desktop,3,Three-touch,3,2,Organic Search,Organic Search,Direct,1,0,0.0,,0.0,Organic Search > Organic Search > Direct
MKG-00049,Brand Returners,Core Market,Desktop,2,Two-touch,0,2,Paid Social,Paid Search,Paid Search,1,0,9.0,,0.0,Paid Social > Paid Search
MKG-00050,Research-Heavy Browsers,Core Market,Mobile,4,Four-plus,2,3,Email,,Paid Social,0,0,,,0.0,Email > Direct > Paid Social > Paid Social
MKG-00051,Promo Responders,National Market,Desktop,3,Three-touch,1,1,Direct,Direct,Direct,1,1,3.0,9.0,115.77,Direct > Direct > Direct
MKG-00052,Research-Heavy Browsers,Regional Market,Desktop,5,Four-plus,4,3,Email,Email,Organic Search,1,1,1.0,16.0,162.75,Email > Email > Referral > Organic Search > Organic Search
MKG-00053,Brand Returners,National Market,Desktop,4,Four-plus,2,4,Referral,Referral,Email,1,1,0.0,10.0,144.35,Referral > Paid Search > Organic Search > Email
MKG-00054,Cross-Border Shoppers,International Market,Tablet,5,Four-plus,3,4,Direct,,Paid Search,0,0,,,0.0,Direct > Email > Paid Social > Paid Social > Paid Search
MKG-00055,Cross-Border Shoppers,International Market,Tablet,3,Three-touch,3,3,Organic Search,,Direct,0,0,,,0.0,Organic Search > Paid Social > Direct
MKG-00056,Promo Responders,Regional Market,Desktop,3,Three-touch,1,3,Organic Search,Organic Search,Email,1,1,0.0,7.0,131.97,Organic Search > Direct > Email
MKG-00057,Research-Heavy Browsers,Regional Market,Desktop,3,Three-touch,3,2,Organic Search,Direct,Direct,1,1,9.0,14.0,148.61,Organic Search > Direct > Direct
MKG-00058,Research-Heavy Browsers,Regional Market,Desktop,4,Four-plus,2,4,Paid Social,Organic Search,Direct,1,1,9.0,20.0,148.44,Paid Social > Organic Search > Referral > Direct
MKG-00059,Research-Heavy Browsers,Core Market,Desktop,2,Two-touch,1,1,Paid Search,Paid Search,Paid Search,1,0,0.0,,0.0,Paid Search > Paid Search
MKG-00060,Research-Heavy Browsers,Core Market,Desktop,1,Single-touch,0,1,Paid Social,,Paid Social,0,0,,,0.0,Paid Social
MKG-00061,Research-Heavy Browsers,National Market,Desktop,1,Single-touch,1,1,Email,,Email,0,0,,,0.0,Email
MKG-00062,Brand Returners,Core Market,Mobile,1,Single-touch,0,1,Paid Social,,Paid Social,0,0,,,0.0,Paid Social
MKG-00063,Promo Responders,Regional Market,Mobile,4,Four-plus,3,4,Paid Search,Organic Search,Direct,1,1,2.0,12.0,145.66,Paid Search > Organic Search > Email > Direct
MKG-00064,Promo Responders,National Market,Desktop,3,Three-touch,3,2,Email,,Direct,0,0,,,0.0,Email > Email > Direct
MKG-00065,Research-Heavy Browsers,Regional Market,Mobile,1,Single-touch,1,1,Email,,Email,0,0,,,0.0,Email
MKG-00066,Cross-Border Shoppers,International Market,Mobile,3,Three-touch,3,3,Referral,,Paid Social,0,0,,,0.0,Referral > Direct > Paid Social
MKG-00067,Research-Heavy Browsers,Core Market,Desktop,3,Three-touch,3,2,Organic Search,Organic Search,Email,1,1,0.0,11.0,136.44,Organic Search > Organic Search > Email
MKG-00068,Promo Responders,Regional Market,Mobile,3,Three-touch,2,3,Email,Direct,Direct,1,1,10.0,10.0,119.93,Email > Referral > Direct
MKG-00069,Research-Heavy Browsers,Core Market,Mobile,1,Single-touch,0,1,Direct,,Direct,0,0,,,0.0,Direct
MKG-00070,Promo Responders,National Market,Mobile,2,Two-touch,1,1,Direct,,Direct,0,0,,,0.0,Direct > Direct
MKG-00071,Brand Returners,Core Market,Mobile,4,Four-plus,2,3,Paid Search,Paid Search,Direct,1,1,0.0,13.0,131.38,Paid Search > Paid Social > Direct > Direct
MKG-00072,Research-Heavy Browsers,Core Market,Mobile,2,Two-touch,0,2,Paid Search,,Paid Social,0,0,,,0.0,Paid Search > Paid Social
MKG-00073,Brand Returners,National Market,Mobile,3,Three-touch,3,2,Organic Search,,Organic Search,0,0,,,0.0,Organic Search > Direct > Organic Search
MKG-00074,Promo Responders,Core Market,Mobile,1,Single-touch,1,1,Direct,,Direct,0,0,,,0.0,Direct
MKG-00075,Promo Responders,National Market,Desktop,3,Three-touch,3,2,Paid Social,Email,Email,1,0,14.0,,0.0,Paid Social > Paid Social > Email
MKG-00076,Research-Heavy Browsers,National Market,Mobile,2,Two-touch,1,1,Email,Email,Email,1,1,0.0,1.0,135.05,Email > Email
MKG-00077,Research-Heavy Browsers,Regional Market,Mobile,2,Two-touch,2,2,Direct,,Paid Social,0,0,,,0.0,Direct > Paid Social
MKG-00078,Promo Responders,National Market,Desktop,4,Four-plus,3,4,Email,Email,Direct,1,1,0.0,7.0,139.38,Email > Referral > Organic Search > Direct
MKG-00079,Brand Returners,National Market,Desktop,5,Four-plus,5,3,Paid Social,Paid Social,Paid Search,1,0,4.0,,0.0,Paid Social > Paid Social > Email > Email > Paid Search
MKG-00080,Brand Returners,National Market,Desktop,2,Two-touch,1,2,Email,,Direct,0,0,,,0.0,Email > Direct
MKG-00081,Research-Heavy Browsers,Regional Market,Mobile,2,Two-touch,2,2,Referral,,Direct,0,0,,,0.0,Referral > Direct
MKG-00082,Promo Responders,National Market,Mobile,3,Three-touch,3,2,Direct,Direct,Direct,1,0,12.0,,0.0,Direct > Email > Direct
MKG-00083,Cross-Border Shoppers,International Market,Desktop,2,Two-touch,1,2,Organic Search,,Direct,0,0,,,0.0,Organic Search > Direct
MKG-00084,Cross-Border Shoppers,International Market,Desktop,2,Two-touch,2,2,Paid Search,Paid Search,Email,1,0,0.0,,0.0,Paid Search > Email
MKG-00085,Brand Returners,Core Market,Mobile,2,Two-touch,0,2,Paid Search,Paid Search,Direct,1,0,0.0,,0.0,Paid Search > Direct
MKG-00086,Promo Responders,National Market,Desktop,1,Single-touch,0,1,Referral,,Referral,0,0,,,0.0,Referral
MKG-00087,Promo Responders,National Market,Mobile,1,Single-touch,0,1,Direct,,Direct,0,0,,,0.0,Direct
MKG-00088,Brand Returners,Regional Market,Desktop,1,Single-touch,1,1,Organic Search,Organic Search,Organic Search,1,1,0.0,0.0,111.17,Organic Search
MKG-00089,Promo Responders,National Market,Desktop,5,Four-plus,4,4,Paid Social,Email,Direct,1,1,7.0,12.0,134.87,Paid Social > Organic Search > Email > Direct > Direct
MKG-00090,Brand Returners,National Market,Desktop,1,Single-touch,0,1,Paid Search,,Paid Search,0,0,,,0.0,Paid Search
MKG-00091,Brand Returners,National Market,Desktop,3,Three-touch,1,2,Email,,Email,0,0,,,0.0,Email > Referral > Email
MKG-00092,Research-Heavy Browsers,Regional Market,Desktop,4,Four-plus,2,3,Email,,Direct,0,0,,,0.0,Email > Paid Search > Paid Search > Direct
MKG-00093,Research-Heavy Browsers,Core Market,Mobile,2,Two-touch,2,2,Paid Social,Paid Social,Paid Search,1,0,0.0,,0.0,Paid Social > Paid Search
MKG-00094,Research-Heavy Browsers,Core Market,Desktop,4,Four-plus,2,4,Paid Social,,Direct,0,0,,,0.0,Paid Social > Paid Search > Email > Direct
MKG-00095,Brand Returners,Regional Market,Desktop,1,Single-touch,0,1,Paid Social,,Paid Social,0,0,,,0.0,Paid Social
MKG-00096,Promo Responders,Regional Market,Desktop,4,Four-plus,3,3,Paid Search,Direct,Email,1,1,9.0,12.0,159.0,Paid Search > Direct > Paid Search > Email
MKG-00097,Research-Heavy Browsers,Regional Market,Mobile,5,Four-plus,4,3,Paid Social,,Direct,0,0,,,0.0,Paid Social > Paid Search > Paid Search > Paid Search > Direct
MKG-00098,Brand Returners,National Market,Tablet,3,Three-touch,2,3,Referral,,Direct,0,0,,,0.0,Referral > Paid Search > Direct
MKG-00099,Cross-Border Shoppers,International Market,Desktop,1,Single-touch,1,1,Organic Search,,Organic Search,0,0,,,0.0,Organic Search
MKG-00100,Research-Heavy Browsers,Regional Market,Mobile,2,Two-touch,1,2,Paid Search,Paid Social,Paid Social,1,0,6.0,,0.0,Paid Search > Paid Social
MKG-00101,Promo Responders,National Market,Desktop,1,Single-touch,1,1,Paid Search,,Paid Search,0,0,,,0.0,Paid Search
MKG-00102,Research-Heavy Browsers,Core Market,Desktop,3,Three-touch,0,2,Organic Search,,Organic Search,0,0,,,0.0,Organic Search > Direct > Organic Search
MKG-00103,Cross-Border Shoppers,International Market,Mobile,2,Two-touch,0,2,Organic Search,,Direct,0,0,,,0.0,Organic Search > Direct
MKG-00104,Research-Heavy Browsers,Core Market,Mobile,1,Single-touch,0,1,Direct,,Direct,0,0,,,0.0,Direct
MKG-00105,Research-Heavy Browsers,Core Market,Tablet,3,Three-touch,2,2,Paid Search,Referral,Referral,1,0,5.0,,0.0,Paid Search > Paid Search > Referral
MKG-00106,Cross-Border Shoppers,International Market,Tablet,3,Three-touch,2,2,Paid Search,Paid Search,Paid Search,1,0,10.0,,0.0,Paid Search > Direct > Paid Search
MKG-00107,Brand Returners,Core Market,Desktop,4,Four-plus,2,3,Direct,Referral,Referral,1,1,14.0,14.0,123.54,Direct > Direct > Paid Social > Referral
MKG-00108,Brand Returners,Regional Market,Desktop,2,Two-touch,2,2,Email,Direct,Direct,1,1,6.0,6.0,118.3,Email > Direct
MKG-00109,Brand Returners,National Market,Desktop,4,Four-plus,2,3,Email,Paid Search,Paid Social,1,1,15.0,21.0,104.35,Email > Email > Paid Search > Paid Social
MKG-00110,Brand Returners,Regional Market,Desktop,5,Four-plus,5,3,Organic Search,Organic Search,Email,1,0,0.0,,0.0,Organic Search > Direct > Organic Search > Direct > Email
MKG-00111,Research-Heavy Browsers,Regional Market,Desktop,2,Two-touch,1,2,Referral,,Direct,0,0,,,0.0,Referral > Direct
MKG-00112,Brand Returners,National Market,Desktop,3,Three-touch,2,2,Email,,Direct,0,0,,,0.0,Email > Email > Direct
MKG-00113,Research-Heavy Browsers,Core Market,Mobile,2,Two-touch,2,2,Email,,Direct,0,0,,,0.0,Email > Direct
MKG-00114,Brand Returners,National Market,Tablet,4,Four-plus,2,3,Email,Direct,Referral,1,1,4.0,9.0,118.83,Email > Direct > Email > Referral
MKG-00115,Research-Heavy Browsers,National Market,Mobile,2,Two-touch,2,1,Paid Social,,Paid Social,0,0,,,0.0,Paid Social > Paid Social
MKG-00116,Promo Responders,National Market,Mobile,3,Three-touch,2,2,Organic Search,,Email,0,0,,,0.0,Organic Search > Organic Search > Email
MKG-00117,Research-Heavy Browsers,Core Market,Desktop,2,Two-touch,1,2,Paid Social,,Email,0,0,,,0.0,Paid Social > Email
MKG-00118,Promo Responders,National Market,Mobile,3,Three-touch,2,3,Paid Search,Paid Search,Direct,1,1,0.0,8.0,141.55,Paid Search > Referral > Direct
MKG-00119,Research-Heavy Browsers,National Market,Mobile,2,Two-touch,1,1,Referral,,Referral,0,0,,,0.0,Referral > Referral
MKG-00120,Research-Heavy Browsers,Core Market,Tablet,2,Two-touch,1,2,Email,,Direct,0,0,,,0.0,Email > Direct
MKG-00121,Brand Returners,Regional Market,Desktop,1,Single-touch,1,1,Email,,Email,0,0,,,0.0,Email
MKG-00122,Brand Returners,Regional Market,Mobile,2,Two-touch,2,1,Email,Email,Email,1,0,0.0,,0.0,Email > Email
MKG-00123,Research-Heavy Browsers,Core Market,Desktop,2,Two-touch,2,1,Paid Search,,Paid Search,0,0,,,0.0,Paid Search > Paid Search
MKG-00124,Research-Heavy Browsers,Core Market,Mobile,4,Four-plus,1,3,Email,Organic Search,Direct,1,1,7.0,15.0,107.97,Email > Organic Search > Email > Direct
MKG-00125,Research-Heavy Browsers,Regional Market,Desktop,3,Three-touch,2,2,Referral,Referral,Referral,1,1,7.0,7.0,124.38,Referral > Paid Search > Referral
MKG-00126,Brand Returners,National Market,Tablet,2,Two-touch,0,1,Email,Email,Email,1,0,0.0,,0.0,Email > Email
MKG-00127,Brand Returners,Regional Market,Mobile,2,Two-touch,0,1,Email,,Email,0,0,,,0.0,Email > Email
MKG-00128,Promo Responders,Regional Market,Desktop,5,Four-plus,3,2,Paid Social,Paid Social,Paid Social,1,0,25.0,,0.0,Paid Social > Paid Social > Paid Search > Paid Social > Paid Social
MKG-00129,Brand Returners,Core Market,Mobile,4,Four-plus,3,1,Organic Search,Organic Search,Organic Search,1,0,18.0,,0.0,Organic Search > Organic Search > Organic Search > Organic Search
MKG-00130,Cross-Border Shoppers,International Market,Mobile,4,Four-plus,2,2,Paid Search,Email,Email,1,1,13.0,13.0,124.92,Paid Search > Paid Search > Email > Email
MKG-00131,Research-Heavy Browsers,National Market,Desktop,1,Single-touch,0,1,Referral,,Referral,0,0,,,0.0,Referral
MKG-00132,Research-Heavy Browsers,Regional Market,Desktop,3,Three-touch,0,3,Paid Social,Paid Search,Email,1,0,8.0,,0.0,Paid Social > Paid Search > Email
MKG-00133,Cross-Border Shoppers,International Market,Mobile,2,Two-touch,1,2,Referral,,Paid Social,0,0,,,0.0,Referral > Paid Social
MKG-00134,Research-Heavy Browsers,Regional Market,Mobile,3,Three-touch,1,3,Paid Social,Paid Social,Direct,1,1,0.0,8.0,106.31,Paid Social > Organic Search > Direct
MKG-00135,Promo Responders,National Market,Tablet,2,Two-touch,1,1,Paid Search,Paid Search,Paid Search,1,1,2.0,2.0,108.39,Paid Search > Paid Search
MKG-00136,Cross-Border Shoppers,International Market,Mobile,4,Four-plus,3,2,Paid Search,Paid Search,Email,1,0,9.0,,0.0,Paid Search > Email > Paid Search > Email
MKG-00137,Research-Heavy Browsers,Regional Market,Tablet,1,Single-touch,0,1,Organic Search,,Organic Search,0,0,,,0.0,Organic Search
MKG-00138,Brand Returners,Core Market,Mobile,3,Three-touch,3,3,Paid Search,,Email,0,0,,,0.0,Paid Search > Direct > Email
MKG-00139,Brand Returners,National Market,Mobile,4,Four-plus,3,3,Organic Search,Email,Email,1,1,4.0,11.0,98.13,Organic Search > Email > Direct > Email
MKG-00140,Brand Returners,Regional Market,Mobile,2,Two-touch,1,2,Email,,Paid Social,0,0,,,0.0,Email > Paid Social
MKG-00141,Research-Heavy Browsers,Regional Market,Tablet,4,Four-plus,3,3,Paid Search,Direct,Direct,1,0,14.0,,0.0,Paid Search > Email > Direct > Direct
MKG-00142,Cross-Border Shoppers,International Market,Desktop,2,Two-touch,2,2,Organic Search,,Referral,0,0,,,0.0,Organic Search > Referral
MKG-00143,Cross-Border Shoppers,International Market,Mobile,4,Four-plus,3,4,Paid Social,Paid Social,Organic Search,1,1,0.0,16.0,145.37,Paid Social > Direct > Email > Organic Search
MKG-00144,Brand Returners,National Market,Desktop,4,Four-plus,3,2,Organic Search,Email,Email,1,1,5.0,13.0,134.44,Organic Search > Email > Organic Search > Email
MKG-00145,Research-Heavy Browsers,Core Market,Mobile,3,Three-touch,2,3,Organic Search,Organic Search,Paid Search,1,0,0.0,,0.0,Organic Search > Email > Paid Search
MKG-00146,Research-Heavy Browsers,National Market,Mobile,4,Four-plus,3,3,Referral,Paid Social,Email,1,0,6.0,,0.0,Referral > Paid Social > Email > Email
MKG-00147,Promo Responders,Core Market,Desktop,3,Three-touch,2,2,Email,,Referral,0,0,,,0.0,Email > Email > Referral
MKG-00148,Research-Heavy Browsers,Core Market,Desktop,1,Single-touch,0,1,Email,,Email,0,0,,,0.0,Email
MKG-00149,Promo Responders,National Market,Desktop,2,Two-touch,1,2,Email,,Direct,0,0,,,0.0,Email > Direct
MKG-00150,Cross-Border Shoppers,International Market,Desktop,2,Two-touch,2,2,Referral,Direct,Direct,1,1,4.0,4.0,113.08,Referral > Direct
MKG-00151,Promo Responders,National Market,Tablet,3,Three-touch,2,3,Email,Direct,Referral,1,1,1.0,3.0,115.3,Email > Direct > Referral
MKG-00152,Research-Heavy Browsers,Regional Market,Desktop,4,Four-plus,3,3,Email,Organic Search,Organic Search,1,1,5.0,17.0,163.87,Email > Organic Search > Direct > Organic Search
MKG-00153,Promo Responders,National Market,Desktop,3,Three-touch,3,1,Email,,Email,0,0,,,0.0,Email > Email > Email
MKG-00154,Cross-Border Shoppers,International Market,Mobile,1,Single-touch,0,1,Referral,,Referral,0,0,,,0.0,Referral
MKG-00155,Research-Heavy Browsers,Core Market,Desktop,1,Single-touch,1,1,Direct,,Direct,0,0,,,0.0,Direct
MKG-00156,Research-Heavy Browsers,National Market,Mobile,1,Single-touch,1,1,Paid Social,Paid Social,Paid Social,1,0,0.0,,0.0,Paid Social
MKG-00157,Research-Heavy Browsers,Core Market,Mobile,2,Two-touch,1,2,Paid Social,Paid Social,Paid Search,1,0,0.0,,0.0,Paid Social > Paid Search
MKG-00158,Promo Responders,National Market,Desktop,2,Two-touch,1,2,Paid Search,Paid Social,Paid Social,1,0,3.0,,0.0,Paid Search > Paid Social
MKG-00159,Promo Responders,Core Market,Desktop,4,Four-plus,2,4,Referral,Paid Search,Organic Search,1,1,2.0,14.0,153.54,Referral > Paid Search > Email > Organic Search
MKG-00160,Brand Returners,National Market,Desktop,3,Three-touch,2,2,Organic Search,,Organic Search,0,0,,,0.0,Organic Search > Direct > Organic Search
MKG-00161,Cross-Border Shoppers,International Market,Mobile,5,Four-plus,3,2,Organic Search,Organic Search,Paid Social,1,1,4.0,13.0,129.73,Organic Search > Organic Search > Organic Search > Paid Social > Paid Social
MKG-00162,Research-Heavy Browsers,Regional Market,Mobile,5,Four-plus,3,3,Paid Search,,Organic Search,0,0,,,0.0,Paid Search > Organic Search > Direct > Direct > Organic Search
MKG-00163,Research-Heavy Browsers,Regional Market,Mobile,3,Three-touch,2,3,Paid Social,Direct,Email,1,1,6.0,10.0,110.65,Paid Social > Direct > Email
MKG-00164,Promo Responders,National Market,Mobile,1,Single-touch,1,1,Paid Social,,Paid Social,0,0,,,0.0,Paid Social
MKG-00165,Brand Returners,Regional Market,Desktop,1,Single-touch,1,1,Referral,,Referral,0,0,,,0.0,Referral
MKG-00166,Brand Returners,National Market,Desktop,1,Single-touch,0,1,Organic Search,Organic Search,Organic Search,1,1,0.0,0.0,127.52,Organic Search
MKG-00167,Promo Responders,National Market,Mobile,4,Four-plus,1,4,Organic Search,Referral,Email,1,1,16.0,21.0,129.22,Organic Search > Direct > Referral > Email
MKG-00168,Cross-Border Shoppers,International Market,Desktop,4,Four-plus,3,3,Organic Search,Email,Paid Search,1,1,9.0,11.0,117.33,Organic Search > Organic Search > Email > Paid Search
MKG-00169,Brand Returners,Core Market,Mobile,1,Single-touch,0,1,Email,,Email,0,0,,,0.0,Email
MKG-00170,Promo Responders,Regional Market,Desktop,3,Three-touch,1,3,Paid Social,Paid Social,Paid Search,1,1,0.0,6.0,125.45,Paid Social > Referral > Paid Search
MKG-00171,Research-Heavy Browsers,Regional Market,Mobile,4,Four-plus,1,2,Paid Search,Direct,Direct,1,0,7.0,,0.0,Paid Search > Paid Search > Direct > Direct
MKG-00172,Promo Responders,National Market,Mobile,1,Single-touch,0,1,Referral,,Referral,0,0,,,0.0,Referral
MKG-00173,Promo Responders,Regional Market,Mobile,2,Two-touch,1,2,Paid Search,,Organic Search,0,0,,,0.0,Paid Search > Organic Search
MKG-00174,Cross-Border Shoppers,International Market,Desktop,3,Three-touch,1,2,Direct,Paid Search,Direct,1,0,3.0,,0.0,Direct > Paid Search > Direct
MKG-00175,Brand Returners,Core Market,Mobile,4,Four-plus,1,2,Organic Search,,Paid Search,0,0,,,0.0,Organic Search > Organic Search > Organic Search > Paid Search
MKG-00176,Promo Responders,National Market,Desktop,1,Single-touch,0,1,Organic Search,,Organic Search,0,0,,,0.0,Organic Search
MKG-00177,Cross-Border Shoppers,National Market,Desktop,5,Four-plus,4,5,Paid Search,Direct,Paid Social,1,1,3.0,15.0,165.88,Paid Search > Organic Search > Direct > Email > Paid Social
MKG-00178,Brand Returners,National Market,Tablet,2,Two-touch,1,2,Paid Social,Paid Social,Organic Search,1,1,0.0,1.0,128.9,Paid Social > Organic Search
MKG-00179,Research-Heavy Browsers,Regional Market,Desktop,5,Four-plus,4,4,Paid Social,Direct,Email,1,1,7.0,16.0,165.49,Paid Social > Direct > Direct > Paid Search > Email
