student_id,gender,adult_learner_flag,family_support_flag,dependents_flag,student_lifecycle_months,mobile_contactable_flag,multi_channel_contact_flag,digital_access_type,academic_support_flag,study_resources_flag,device_readiness_flag,advising_support_flag,co_curricular_content_flag,career_content_flag,enrollment_commitment_type,digital_self_service_flag,payment_plan_type,monthly_student_bill,cumulative_student_bill,actual_dropout_flag,engagement_services_count,engagement_index,attrition_risk_score
CRM-00047,Male,0,0,0,2,1,0,Standard bandwidth,0,1,0,0,0,0,Open enrollment,0,Mailed check,49.25,97.0,0,2,17.8,92.0
CRM-00048,Female,0,0,0,2,1,0,High bandwidth,0,0,0,0,1,0,Open enrollment,1,Electronic check,80.65,144.15,1,3,36.7,100.0
CRM-00049,Male,0,0,0,52,1,1,Standard bandwidth,1,0,0,1,1,1,Multi-year commitment,1,Credit card (automatic),79.75,4217.8,0,7,82.2,18.0
CRM-00050,Female,0,1,1,69,1,1,Standard bandwidth,1,0,1,1,0,0,Multi-year commitment,1,Credit card (automatic),64.15,4254.1,0,6,73.3,0.0
CRM-00051,Female,1,0,0,43,1,1,High bandwidth,0,1,0,0,1,0,Open enrollment,1,Electronic check,90.25,3838.75,0,5,64.4,95.0
CRM-00052,Female,0,0,0,15,1,0,High bandwidth,1,1,0,0,1,1,Open enrollment,1,Credit card (automatic),99.1,1426.4,1,6,63.3,75.0
CRM-00053,Female,1,1,0,25,1,1,Standard bandwidth,1,0,0,1,1,0,Open enrollment,1,Credit card (automatic),69.5,1752.65,0,6,73.3,55.0
CRM-00054,Female,1,1,0,8,1,1,High bandwidth,0,1,0,0,0,0,Open enrollment,1,Credit card (automatic),80.65,633.3,1,4,55.6,100.0
CRM-00055,Female,1,1,1,60,1,0,Standard bandwidth,1,1,1,1,0,1,Annual commitment,1,Credit card (automatic),74.85,4456.35,0,7,72.2,8.0
CRM-00056,Male,1,0,0,18,1,1,High bandwidth,0,0,0,0,1,1,Open enrollment,1,Electronic check,95.45,1752.55,1,5,64.4,95.0
CRM-00057,Female,0,1,1,63,1,1,High bandwidth,1,0,0,0,1,1,Annual commitment,1,Credit card (automatic),99.65,6311.2,0,6,73.3,30.0
CRM-00058,Male,1,1,1,66,1,1,High bandwidth,0,1,1,1,1,1,Annual commitment,1,Electronic check,108.45,7076.35,0,8,91.1,28.0
CRM-00059,Female,0,1,1,34,1,1,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Credit card (automatic),24.95,894.3,0,2,27.8,42.0
CRM-00060,Female,0,0,0,72,1,1,High bandwidth,0,0,1,1,1,1,Multi-year commitment,1,Credit card (automatic),107.5,7853.7,0,7,82.2,28.0
CRM-00061,Female,0,1,0,47,1,1,High bandwidth,0,0,1,0,1,1,Open enrollment,1,Electronic check,100.5,4707.1,0,6,73.3,85.0
CRM-00062,Male,0,0,0,60,1,1,High bandwidth,0,1,0,0,1,0,Open enrollment,1,Bank transfer (automatic),89.9,5450.7,0,5,64.4,95.0
CRM-00063,Male,0,1,0,72,0,0,Standard bandwidth,1,1,1,0,0,0,Multi-year commitment,0,Bank transfer (automatic),42.1,2962.0,0,3,26.7,12.0
CRM-00064,Female,0,1,1,18,1,0,Standard bandwidth,0,0,1,1,0,0,Annual commitment,1,Credit card (automatic),54.4,957.1,0,4,45.6,20.0
CRM-00065,Female,0,0,0,9,1,1,High bandwidth,0,0,0,0,1,1,Open enrollment,0,Electronic check,94.4,857.25,1,4,45.6,100.0
CRM-00066,Female,0,0,0,3,1,0,Standard bandwidth,0,1,0,1,1,1,Open enrollment,1,Electronic check,75.3,244.1,0,6,63.3,88.0
CRM-00067,Male,0,1,0,47,1,1,High bandwidth,0,1,0,0,0,0,Annual commitment,1,Electronic check,78.9,3650.35,0,4,55.6,50.0
CRM-00068,Female,0,0,0,31,1,0,Standard bandwidth,0,1,1,1,1,1,Multi-year commitment,0,Mailed check,79.2,2497.2,0,6,53.3,28.0
CRM-00069,Female,0,1,1,50,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Bank transfer (automatic),20.15,930.9,0,1,8.9,42.0
CRM-00070,Male,0,0,0,10,1,0,High bandwidth,1,0,1,0,0,0,Open enrollment,1,Mailed check,79.85,887.35,0,4,45.6,70.0
CRM-00071,Male,0,0,0,1,1,0,Standard bandwidth,0,0,0,1,0,0,Open enrollment,0,Mailed check,49.05,49.05,0,2,17.8,80.0
CRM-00072,Female,0,1,1,52,1,0,Limited access,0,0,0,0,0,0,Annual commitment,1,Electronic check,20.4,1090.65,0,2,27.8,42.0
CRM-00073,Male,1,1,1,64,1,1,High bandwidth,1,0,1,1,1,1,Multi-year commitment,1,Bank transfer (automatic),111.6,7099.0,0,8,91.1,8.0
CRM-00074,Male,0,1,1,62,1,1,Limited access,0,0,0,0,0,0,Multi-year commitment,1,Bank transfer (automatic),24.25,1424.6,0,3,46.7,42.0
CRM-00075,Female,0,0,1,3,1,0,Standard bandwidth,1,0,0,1,0,1,Open enrollment,1,Bank transfer (automatic),64.5,177.4,0,5,54.4,60.0
CRM-00076,Female,1,0,0,56,1,1,High bandwidth,1,1,1,0,1,1,Annual commitment,0,Electronic check,110.5,6139.5,0,7,72.2,20.0
CRM-00077,Female,0,0,0,46,1,0,Standard bandwidth,0,0,0,0,0,1,Annual commitment,0,Credit card (automatic),55.65,2688.85,0,2,17.8,42.0
CRM-00078,Female,0,1,1,8,1,0,Standard bandwidth,1,1,0,0,0,0,Open enrollment,0,Mailed check,54.65,482.25,0,3,26.7,72.0
CRM-00079,Male,1,0,0,30,1,0,Standard bandwidth,1,1,0,0,1,1,Open enrollment,1,Electronic check,74.75,2111.3,0,6,63.3,75.0
CRM-00080,Female,0,1,1,45,1,1,Limited access,0,0,0,0,0,0,Annual commitment,1,Credit card (automatic),25.9,1216.6,0,3,46.7,42.0
CRM-00081,Female,0,0,1,1,1,0,High bandwidth,0,0,0,0,1,0,Open enrollment,1,Electronic check,79.35,79.35,1,3,36.7,100.0
CRM-00082,Female,0,1,1,11,0,0,Standard bandwidth,1,0,0,0,1,1,Open enrollment,0,Electronic check,50.55,565.35,0,3,26.7,72.0
CRM-00083,Female,0,1,0,7,1,0,High bandwidth,0,0,1,0,0,0,Open enrollment,1,Bank transfer (automatic),75.15,496.9,1,3,36.7,90.0
CRM-00084,Female,0,0,0,42,1,0,High bandwidth,0,1,1,1,1,1,Open enrollment,1,Bank transfer (automatic),103.8,4327.5,0,7,72.2,73.0
CRM-00085,Female,0,1,0,49,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,1,Bank transfer (automatic),20.15,973.35,0,2,27.8,42.0
CRM-00086,Male,0,0,0,9,1,1,High bandwidth,0,1,0,0,1,1,Open enrollment,1,Credit card (automatic),99.3,918.75,0,6,73.3,100.0
CRM-00087,Female,0,1,0,35,1,0,Standard bandwidth,1,0,0,0,1,0,Annual commitment,1,Bank transfer (automatic),62.15,2215.45,0,4,45.6,22.0
CRM-00088,Female,0,1,1,48,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Bank transfer (automatic),20.65,1057.0,0,1,8.9,42.0
CRM-00089,Female,0,1,1,46,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,1,Mailed check,19.95,927.1,0,2,27.8,42.0
CRM-00090,Male,0,1,0,29,0,0,Standard bandwidth,0,0,0,0,1,0,Open enrollment,0,Mailed check,33.75,1009.25,0,1,8.9,87.0
CRM-00091,Male,0,1,1,30,1,0,High bandwidth,0,1,1,0,0,0,Open enrollment,0,Bank transfer (automatic),82.05,2570.2,0,3,26.7,85.0
CRM-00092,Male,1,0,0,1,1,0,High bandwidth,0,0,0,1,0,0,Open enrollment,0,Electronic check,74.7,74.7,0,2,17.8,88.0
CRM-00093,Male,0,1,1,66,1,1,Standard bandwidth,1,0,1,1,1,1,Multi-year commitment,1,Mailed check,84.0,5714.25,0,8,91.1,8.0
CRM-00094,Female,0,0,0,65,1,1,High bandwidth,1,1,1,0,1,1,Open enrollment,1,Credit card (automatic),111.05,7107.0,0,8,91.1,65.0
CRM-00095,Male,0,0,0,72,1,1,High bandwidth,0,1,1,0,1,1,Multi-year commitment,1,Bank transfer (automatic),100.9,7459.05,0,7,82.2,40.0
CRM-00096,Female,0,0,0,12,1,1,High bandwidth,1,0,0,0,0,0,Open enrollment,1,Electronic check,78.95,927.35,1,4,55.6,75.0
CRM-00097,Male,0,1,1,71,1,1,Standard bandwidth,1,1,0,1,0,0,Annual commitment,1,Credit card (automatic),66.85,4748.7,0,6,73.3,10.0
CRM-00098,Male,0,0,0,5,1,0,Limited access,0,0,0,0,0,0,Open enrollment,0,Mailed check,21.05,113.85,1,1,8.9,92.0
CRM-00099,Male,0,0,0,52,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Bank transfer (automatic),21.0,1107.2,0,1,8.9,42.0
CRM-00100,Female,1,1,0,25,1,0,High bandwidth,0,1,1,0,1,1,Open enrollment,1,Electronic check,98.5,2514.5,1,6,63.3,85.0
CRM-00101,Male,0,0,0,1,1,0,Limited access,0,0,0,0,0,0,Open enrollment,0,Mailed check,20.2,20.2,0,1,8.9,92.0
CRM-00102,Female,0,1,1,1,1,0,Limited access,0,0,0,0,0,0,Open enrollment,0,Electronic check,19.45,19.45,0,1,8.9,92.0
CRM-00103,Male,0,0,0,38,1,1,High bandwidth,0,0,1,1,1,0,Annual commitment,0,Bank transfer (automatic),95.0,3605.6,0,5,54.4,28.0
CRM-00104,Female,1,1,0,66,0,0,Standard bandwidth,0,1,1,0,1,0,Annual commitment,0,Bank transfer (automatic),45.55,3027.25,0,3,26.7,32.0
CRM-00105,Male,0,1,0,68,1,1,High bandwidth,0,1,1,1,1,1,Multi-year commitment,1,Bank transfer (automatic),110.0,7611.85,1,8,91.1,28.0
CRM-00106,Male,0,0,0,5,0,0,Standard bandwidth,0,0,0,0,0,0,Open enrollment,0,Mailed check,24.3,100.2,0,0,0.0,92.0
CRM-00107,Female,0,1,1,72,1,1,High bandwidth,1,1,0,0,1,1,Annual commitment,1,Electronic check,104.15,7303.05,0,7,82.2,30.0
CRM-00108,Female,0,0,0,32,0,0,Standard bandwidth,1,0,0,0,0,0,Annual commitment,0,Mailed check,30.15,927.65,0,1,8.9,22.0
CRM-00109,Male,0,0,0,43,1,1,High bandwidth,0,0,0,0,1,1,Annual commitment,0,Mailed check,94.35,3921.3,0,4,45.6,50.0
CRM-00110,Male,0,1,1,72,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Credit card (automatic),19.4,1363.25,0,1,8.9,42.0
CRM-00111,Male,0,1,0,55,1,1,High bandwidth,1,1,0,0,1,0,Open enrollment,1,Electronic check,96.75,5238.9,1,6,73.3,75.0
CRM-00112,Female,0,0,0,52,1,0,Standard bandwidth,1,0,1,1,0,0,Annual commitment,0,Credit card (automatic),57.95,3042.25,0,4,35.6,0.0
CRM-00113,Female,0,0,0,43,1,0,High bandwidth,0,1,1,0,1,0,Open enrollment,1,Electronic check,91.65,3954.1,0,5,54.4,85.0
CRM-00114,Female,1,1,0,37,1,1,High bandwidth,0,0,0,0,0,0,Open enrollment,1,Electronic check,76.5,2868.15,1,3,46.7,95.0
CRM-00115,Female,0,1,1,64,0,0,Standard bandwidth,0,1,0,1,1,1,Multi-year commitment,1,Electronic check,54.6,3423.5,0,5,54.4,30.0
CRM-00116,Male,0,1,1,3,1,0,High bandwidth,1,1,0,0,1,0,Open enrollment,0,Electronic check,89.85,248.4,0,4,35.6,80.0
CRM-00117,Female,0,0,0,36,0,0,Standard bandwidth,1,0,0,0,0,0,Multi-year commitment,0,Bank transfer (automatic),31.05,1126.35,0,1,8.9,22.0
CRM-00118,Female,0,1,1,10,1,1,High bandwidth,1,0,0,0,1,1,Open enrollment,1,Electronic check,100.25,1064.65,1,6,73.3,80.0
CRM-00119,Female,0,0,0,41,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Mailed check,20.65,835.15,0,1,8.9,42.0
CRM-00120,Male,0,1,1,27,1,1,High bandwidth,0,1,0,1,0,0,Open enrollment,1,Credit card (automatic),85.2,2151.6,0,5,64.4,83.0
CRM-00121,Female,0,1,1,56,1,1,High bandwidth,0,0,1,0,1,1,Annual commitment,1,Credit card (automatic),99.8,5515.45,0,6,73.3,40.0
CRM-00122,Female,0,0,0,6,1,0,Limited access,0,0,0,0,0,0,Open enrollment,0,Mailed check,20.7,112.75,0,1,8.9,92.0
CRM-00123,Male,0,0,0,3,1,1,High bandwidth,0,0,0,0,0,0,Open enrollment,1,Electronic check,74.4,229.55,1,3,46.7,100.0
CRM-00124,Female,0,1,1,7,1,0,Standard bandwidth,1,0,0,0,0,0,Open enrollment,0,Mailed check,50.7,350.35,0,2,17.8,72.0
CRM-00125,Female,0,1,1,4,1,0,Limited access,0,0,0,0,0,0,Open enrollment,0,Mailed check,20.85,62.9,0,1,8.9,92.0
CRM-00126,Male,0,0,0,33,1,0,High bandwidth,1,0,0,1,1,0,Multi-year commitment,1,Electronic check,88.95,3027.65,0,5,54.4,18.0
CRM-00127,Female,1,0,0,27,1,1,High bandwidth,0,0,1,0,0,0,Open enrollment,1,Electronic check,78.05,2135.5,1,4,55.6,85.0
CRM-00128,Male,0,1,0,72,1,1,Limited access,0,0,0,0,0,0,Multi-year commitment,1,Bank transfer (automatic),23.55,1723.95,0,3,46.7,42.0
CRM-00129,Male,0,0,0,1,1,0,Limited access,0,0,0,0,0,0,Open enrollment,0,Mailed check,19.75,19.75,0,1,8.9,92.0
CRM-00130,Male,1,0,0,71,0,0,Standard bandwidth,1,1,0,0,1,1,Annual commitment,1,Electronic check,56.45,3985.35,0,5,54.4,22.0
CRM-00131,Female,0,0,0,13,1,1,High bandwidth,0,0,0,0,0,1,Open enrollment,1,Electronic check,85.95,1215.65,0,4,55.6,95.0
CRM-00132,Female,0,1,1,25,0,0,Standard bandwidth,1,1,1,0,1,1,Open enrollment,1,Credit card (automatic),58.6,1502.65,1,6,63.3,57.0
CRM-00133,Male,0,0,0,67,1,0,Standard bandwidth,0,0,0,1,0,0,Multi-year commitment,0,Bank transfer (automatic),50.55,3260.1,0,2,17.8,30.0
CRM-00134,Male,0,0,0,1,0,0,Standard bandwidth,0,0,0,0,0,1,Open enrollment,1,Electronic check,35.45,35.45,1,2,27.8,92.0
CRM-00135,Male,0,0,0,2,1,0,Standard bandwidth,0,0,0,0,0,0,Open enrollment,0,Electronic check,44.35,81.25,1,1,8.9,92.0
CRM-00136,Female,0,0,0,43,1,1,Limited access,0,0,0,0,0,0,Multi-year commitment,1,Credit card (automatic),25.7,1188.2,0,3,46.7,42.0
CRM-00137,Female,0,0,0,23,1,0,High bandwidth,1,0,0,0,0,0,Open enrollment,1,Bank transfer (automatic),75.0,1778.5,0,3,36.7,75.0
CRM-00138,Female,0,1,1,64,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Mailed check,20.2,1277.75,0,1,8.9,42.0
CRM-00139,Male,0,0,1,57,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,1,Mailed check,19.6,1170.55,0,2,27.8,42.0
CRM-00140,Female,1,1,0,1,1,0,High bandwidth,0,0,0,0,0,0,Open enrollment,1,Mailed check,70.45,70.45,1,2,27.8,100.0
CRM-00141,Female,1,1,1,72,1,1,Standard bandwidth,1,1,1,1,1,1,Multi-year commitment,1,Credit card (automatic),88.05,6425.65,0,9,100.0,8.0
CRM-00142,Female,0,0,0,8,1,1,Standard bandwidth,1,0,0,1,0,1,Open enrollment,0,Electronic check,71.15,563.65,1,5,54.4,68.0
CRM-00143,Female,0,1,0,61,1,1,High bandwidth,0,1,0,0,1,1,Multi-year commitment,1,Bank transfer (automatic),101.05,5971.25,0,6,73.3,50.0
CRM-00144,Male,0,0,0,64,1,1,High bandwidth,1,1,0,0,0,0,Annual commitment,1,Credit card (automatic),84.3,5289.05,0,5,64.4,30.0
CRM-00145,Male,1,1,0,71,1,1,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Bank transfer (automatic),23.95,1756.2,0,2,27.8,42.0
CRM-00146,Female,0,1,1,65,1,1,High bandwidth,1,1,0,1,1,0,Multi-year commitment,1,Credit card (automatic),99.05,6416.7,0,7,82.2,18.0
CRM-00147,Male,0,0,0,3,1,0,Limited access,0,0,0,0,0,0,Annual commitment,0,Mailed check,19.6,61.35,0,1,8.9,47.0
CRM-00148,Male,0,0,0,1,1,0,Standard bandwidth,0,0,0,0,0,0,Open enrollment,1,Electronic check,45.65,45.65,1,2,27.8,92.0
CRM-00149,Male,0,0,1,30,1,0,Standard bandwidth,0,1,1,0,1,0,Annual commitment,0,Credit card (automatic),64.5,1929.95,0,4,35.6,32.0
CRM-00150,Male,0,1,1,15,1,0,Standard bandwidth,0,1,1,1,0,1,Open enrollment,1,Mailed check,69.5,1071.4,0,6,63.3,65.0
CRM-00151,Female,0,1,1,8,1,0,Standard bandwidth,0,0,0,1,1,1,Open enrollment,1,Electronic check,68.55,564.35,0,5,54.4,80.0
CRM-00152,Male,0,0,0,7,1,1,High bandwidth,0,0,0,0,1,1,Open enrollment,0,Mailed check,95.0,655.5,1,4,45.6,100.0
CRM-00153,Female,0,1,1,70,1,1,High bandwidth,1,1,1,0,1,1,Annual commitment,1,Credit card (automatic),108.15,7930.55,0,8,91.1,20.0
CRM-00154,Male,0,1,1,62,1,0,Standard bandwidth,1,1,1,1,1,1,Multi-year commitment,0,Electronic check,86.1,5215.25,0,7,62.2,8.0
CRM-00155,Female,0,1,1,6,1,0,Limited access,0,0,0,0,0,0,Open enrollment,0,Mailed check,19.7,113.5,0,1,8.9,92.0
CRM-00156,Female,0,1,1,14,1,0,High bandwidth,0,0,0,0,0,1,Open enrollment,1,Bank transfer (automatic),80.9,1152.8,0,3,36.7,95.0
CRM-00157,Female,0,0,0,22,1,1,High bandwidth,0,0,0,0,1,0,Open enrollment,1,Bank transfer (automatic),84.15,1821.95,0,4,55.6,95.0
CRM-00158,Male,0,1,1,22,1,0,Limited access,0,0,0,0,0,0,Annual commitment,0,Mailed check,20.15,419.9,0,1,8.9,42.0
CRM-00159,Male,0,1,1,16,1,0,Standard bandwidth,1,0,1,0,1,0,Multi-year commitment,0,Mailed check,64.25,1024.0,0,4,35.6,12.0
CRM-00160,Male,0,0,0,10,1,1,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Bank transfer (automatic),25.7,251.6,0,2,27.8,47.0
CRM-00161,Female,0,0,1,13,1,0,Standard bandwidth,1,1,0,0,0,0,Open enrollment,1,Electronic check,56.0,764.55,0,4,45.6,67.0
CRM-00162,Female,0,1,0,20,1,1,High bandwidth,1,0,0,0,0,0,Open enrollment,0,Electronic check,82.4,1592.35,1,3,36.7,75.0
CRM-00163,Female,0,0,0,2,1,0,High bandwidth,0,0,0,0,0,0,Open enrollment,1,Electronic check,69.7,135.2,0,2,27.8,92.0
CRM-00164,Male,0,0,0,53,1,1,Standard bandwidth,0,1,1,1,0,1,Multi-year commitment,1,Bank transfer (automatic),73.9,3958.25,0,7,82.2,28.0
CRM-00165,Female,0,1,1,11,1,0,Limited access,0,0,0,0,0,0,Annual commitment,0,Mailed check,20.6,233.9,0,1,8.9,47.0
CRM-00166,Male,0,1,0,69,1,0,Limited access,0,0,0,0,0,0,Multi-year commitment,0,Mailed check,19.9,1363.45,0,1,8.9,42.0
CRM-00167,Female,0,0,0,4,1,0,High bandwidth,0,0,0,0,0,0,Open enrollment,1,Bank transfer (automatic),70.9,273.0,1,2,27.8,100.0
CRM-00168,Male,0,1,0,72,1,1,Standard bandwidth,1,1,1,1,1,1,Multi-year commitment,1,Bank transfer (automatic),89.05,6254.45,0,9,100.0,8.0
CRM-00169,Male,1,1,0,58,0,0,Standard bandwidth,0,1,1,0,0,1,Open enrollment,1,Electronic check,45.3,2651.2,1,4,45.6,77.0
CRM-00170,Female,0,1,1,16,1,0,Limited access,0,0,0,0,0,0,Open enrollment,0,Electronic check,20.4,321.4,0,1,8.9,87.0
CRM-00171,Male,0,1,0,43,1,0,High bandwidth,1,0,1,1,0,0,Annual commitment,1,Bank transfer (automatic),84.25,3539.25,0,5,54.4,8.0
